seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
16399716826494454783,periodic,brute_force,500,20,1,1,1,2178125,1992,124750
16399716826494454783,periodic,cim,500,20,2,1,1,2191750,1992,124750
16399716826494454783,periodic,cim,500,20,3,1,1,1986750,1992,124750
16399716826494454783,periodic,cim,500,20,4,1,1,1223875,1992,70172
16399716826494454783,periodic,cim,500,20,5,1,1,806500,1992,44854
16399716826494454783,periodic,cim,500,20,6,1,1,623667,1992,31123
16399716826494454783,periodic,cim,500,20,7,1,1,543334,1992,22734
16399716826494454783,periodic,cim,500,20,8,1,1,403916,1992,17360
16399716826494454783,periodic,cim,500,20,9,1,1,337250,1992,13719
16399716826494454783,periodic,cim,500,20,10,1,1,302708,1992,11078
16399716826494454783,periodic,cim,500,20,11,1,1,268666,1992,9112
16399716826494454783,periodic,cim,500,20,12,1,1,260458,1992,7631
16399716826494454783,periodic,cim,500,20,13,1,1,253333,1992,6489
8843542742392525341,periodic,brute_force,500,20,1,1,2,2209167,2012,124750
8843542742392525341,periodic,cim,500,20,2,1,2,2004417,2012,124750
8843542742392525341,periodic,cim,500,20,3,1,2,2094708,2012,124750
8843542742392525341,periodic,cim,500,20,4,1,2,1204959,2012,70176
8843542742392525341,periodic,cim,500,20,5,1,2,822375,2012,44941
8843542742392525341,periodic,cim,500,20,6,1,2,652958,2012,31053
8843542742392525341,periodic,cim,500,20,7,1,2,513167,2012,22852
8843542742392525341,periodic,cim,500,20,8,1,2,398792,2012,17402
8843542742392525341,periodic,cim,500,20,9,1,2,366625,2012,13719
8843542742392525341,periodic,cim,500,20,10,1,2,330500,2012,11103
8843542742392525341,periodic,cim,500,20,11,1,2,279125,2012,9127
8843542742392525341,periodic,cim,500,20,12,1,2,259875,2012,7615
8843542742392525341,periodic,cim,500,20,13,1,2,242541,2012,6502
7508591676506446450,periodic,brute_force,500,20,1,1,3,2140291,2039,124750
7508591676506446450,periodic,cim,500,20,2,1,3,2083625,2039,124750
