seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
6442146439645458585,periodic,brute_force,10,2.8284271247461903,1,1,1,1667,41,45
2739268820642771544,periodic,brute_force,10,2.8284271247461903,1,1,2,1459,37,45
7088504888092493693,periodic,brute_force,10,2.8284271247461903,1,1,3,1625,40,45
8085552886063671045,periodic,brute_force,10,2.8284271247461903,1,1,4,1667,39,45
15100655992926853583,periodic,brute_force,10,2.8284271247461903,1,1,5,1666,40,45
5632867391053365287,periodic,brute_force,10,2.8284271247461903,1,1,6,1625,37,45
3102141406613773993,periodic,brute_force,10,2.8284271247461903,1,1,7,1708,36,45
6473255941770408526,periodic,brute_force,10,2.8284271247461903,1,1,8,1708,38,45
988002945589345283,periodic,brute_force,10,2.8284271247461903,1,1,9,1583,38,45
9908592610618883012,periodic,brute_force,10,2.8284271247461903,1,1,10,1708,36,45
7551177748409875701,periodic,brute_force,10,2.8284271247461903,1,1,11,1583,38,45
15985336202736465191,periodic,brute_force,10,2.8284271247461903,1,1,12,1708,38,45
5927803075408140723,periodic,brute_force,10,2.8284271247461903,1,1,13,1625,37,45
3632617725777113770,periodic,brute_force,10,2.8284271247461903,1,1,14,1625,38,45
3963386715215476072,periodic,brute_force,10,2.8284271247461903,1,1,15,1625,38,45
9802983045010775587,periodic,brute_force,10,2.8284271247461903,1,1,16,1792,41,45
13706630302200518170,periodic,brute_force,10,2.8284271247461903,1,1,17,1583,37,45
7401517536654502382,periodic,brute_force,10,2.8284271247461903,1,1,18,1667,39,45
51013957372322949,periodic,brute_force,10,2.8284271247461903,1,1,19,1625,38,45
17801635481992227551,periodic,brute_force,10,2.8284271247461903,1,1,20,1750,37,45
389679283641417533,periodic,brute_force,10,2.8284271247461903,1,1,21,1792,37,45
8207945850058172096,periodic,brute_force,10,2.8284271247461903,1,1,22,1542,37,45
1939081668359247297,periodic,brute_force,10,2.8284271247461903,1,1,23,1750,37,45
10222717962754038681,periodic,brute_force,10,2.8284271247461903,1,1,24,1625,39,45
12009468156182646748,periodic,brute_force,10,2.8284271247461903,1,1,25,1625,37,45
7123258752957213415,periodic,brute_force,10,2.8284271247461903,1,1,26,1584,41,45
16803994431355503472,periodic,brute_force,10,2.8284271247461903,1,1,27,1625,39,45
11530376979160721170,periodic,brute_force,10,2.8284271247461903,1,1,28,1625,37,45
12962406563697983006,periodic,brute_force,10,2.8284271247461903,1,1,29,1667,36,45
5463355356972632116,periodic,brute_force,10,2.8284271247461903,1,1,30,1708,38,45
16547886664231044242,periodic,brute_force,10,2.8284271247461903,1,1,31,1666,38,45
2238683613988331285,periodic,brute_force,10,2.8284271247461903,1,1,32,1625,40,45
3789897824412188696,periodic,brute_force,10,2.8284271247461903,1,1,33,1583,38,45
3448199584851410961,periodic,brute_force,10,2.8284271247461903,1,1,34,1625,39,45
16670866136170944335,periodic,brute_force,10,2.8284271247461903,1,1,35,1584,38,45
15800971191017213213,periodic,brute_force,10,2.8284271247461903,1,1,36,1667,37,45
2914128089981243785,periodic,brute_force,10,2.8284271247461903,1,1,37,1709,38,45
11676717538633006509,periodic,brute_force,10,2.8284271247461903,1,1,38,1625,38,45
489506200500004936,periodic,brute_force,10,2.8284271247461903,1,1,39,1708,38,45
8913276569409890293,periodic,brute_force,10,2.8284271247461903,1,1,40,1708,37,45
9505509855930372788,periodic,brute_force,10,2.8284271247461903,1,1,41,1584,39,45
1598828180007745318,periodic,brute_force,10,2.8284271247461903,1,1,42,1625,38,45
11889837390937374876,periodic,brute_force,10,2.8284271247461903,1,1,43,1625,37,45
11121421754097260421,periodic,brute_force,10,2.8284271247461903,1,1,44,1666,38,45
3289071579693987893,periodic,brute_force,10,2.8284271247461903,1,1,45,1625,34,45
9867879347920363516,periodic,brute_force,10,2.8284271247461903,1,1,46,1542,36,45
2898732597823578342,periodic,brute_force,10,2.8284271247461903,1,1,47,1625,36,45
17091007869878026454,periodic,brute_force,10,2.8284271247461903,1,1,48,1458,36,45
4004878920138249756,periodic,brute_force,10,2.8284271247461903,1,1,49,1667,41,45
8829910828684301963,periodic,brute_force,10,2.8284271247461903,1,1,50,1667,41,45
3813842764520820184,periodic,brute_force,10,2.8284271247461903,1,1,51,1584,38,45
9313924334187189112,periodic,brute_force,10,2.8284271247461903,1,1,52,1500,37,45
15390699945815278520,periodic,brute_force,10,2.8284271247461903,1,1,53,1667,36,45
6173301850395914310,periodic,brute_force,10,2.8284271247461903,1,1,54,1584,39,45
5140646905995808225,periodic,brute_force,10,2.8284271247461903,1,1,55,1583,40,45
11964212127817948482,periodic,brute_force,10,2.8284271247461903,1,1,56,1584,38,45
3767171251526770043,periodic,brute_force,10,2.8284271247461903,1,1,57,1583,36,45
2440448423314863285,periodic,brute_force,10,2.8284271247461903,1,1,58,1583,36,45
15638278774680744226,periodic,brute_force,10,2.8284271247461903,1,1,59,1666,36,45
17976247019987181617,periodic,brute_force,10,2.8284271247461903,1,1,60,1625,36,45
1797309187038112440,periodic,brute_force,10,2.8284271247461903,1,1,61,1667,42,45
10698267500066950480,periodic,brute_force,10,2.8284271247461903,1,1,62,1667,36,45
150075677647906737,periodic,brute_force,10,2.8284271247461903,1,1,63,1542,38,45
6772260898312085229,periodic,brute_force,10,2.8284271247461903,1,1,64,1625,36,45
13134592432706616403,periodic,brute_force,10,2.8284271247461903,1,1,65,1541,35,45
3663016421337734240,periodic,brute_force,10,2.8284271247461903,1,1,66,1584,36,45
538243363297798652,periodic,brute_force,10,2.8284271247461903,1,1,67,1583,37,45
7473610527107199534,periodic,brute_force,10,2.8284271247461903,1,1,68,1625,38,45
13270535066977910371,periodic,brute_force,10,2.8284271247461903,1,1,69,1583,37,45
599322821674723893,periodic,brute_force,10,2.8284271247461903,1,1,70,1542,40,45
8618323810656910737,periodic,brute_force,10,2.8284271247461903,1,1,71,1583,37,45
5302483555720400989,periodic,brute_force,10,2.8284271247461903,1,1,72,1625,37,45
9415800352905235754,periodic,brute_force,10,2.8284271247461903,1,1,73,1583,38,45
358484491622748357,periodic,brute_force,10,2.8284271247461903,1,1,74,1583,40,45
12704506371539492977,periodic,brute_force,10,2.8284271247461903,1,1,75,1583,39,45
15304188155324619068,periodic,brute_force,10,2.8284271247461903,1,1,76,1583,39,45
5343034832681330993,periodic,brute_force,10,2.8284271247461903,1,1,77,1500,38,45
12531651206939329394,periodic,brute_force,10,2.8284271247461903,1,1,78,1500,39,45
14155529790914607633,periodic,brute_force,10,2.8284271247461903,1,1,79,1584,38,45
16969568937308752511,periodic,brute_force,10,2.8284271247461903,1,1,80,1625,38,45
12584310229218242335,periodic,brute_force,10,2.8284271247461903,1,1,81,1625,37,45
12079300534306771102,periodic,brute_force,10,2.8284271247461903,1,1,82,1625,39,45
15677966444377253144,periodic,brute_force,10,2.8284271247461903,1,1,83,1583,38,45
17214141373984638375,periodic,brute_force,10,2.8284271247461903,1,1,84,1583,40,45
