seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
16329201866330198749,periodic,cim,10,20,13,1,1,2958,0,2
12617297823736443689,periodic,cim,10,20,13,1,2,3042,2,8
3092864348973989020,periodic,cim,10,20,13,1,3,3042,3,4
3961314931740964735,periodic,cim,10,20,13,1,4,3000,1,5
15555461748144580327,periodic,cim,10,20,13,1,5,2917,1,2
525745878746567829,periodic,cim,10,20,13,1,6,2958,1,1
3544250250983813007,periodic,cim,10,20,13,1,7,2875,0,0
17136308296162730597,periodic,cim,10,20,13,1,8,3000,1,6
9811482955841023997,periodic,cim,10,20,13,1,9,2917,0,1
5415686728268603306,periodic,cim,10,20,13,1,10,2916,1,2
16825305898659047462,periodic,cim,10,20,13,1,11,2958,1,1
9250495269246225316,periodic,cim,10,20,13,1,12,3000,1,4
3479794184025048313,periodic,cim,10,20,13,1,13,2916,0,0
17067491495146557385,periodic,cim,10,20,13,1,14,3000,2,2
2326395897404673064,periodic,cim,10,20,13,1,15,2959,0,2
12755283182923582728,periodic,cim,10,20,13,1,16,3000,1,3
8804554092280055531,periodic,cim,10,20,13,1,17,2958,1,3
11739088615651240678,periodic,cim,10,20,13,1,18,2917,1,3
11756001217118933125,periodic,cim,10,20,13,1,19,2917,0,1
11874942637352169615,periodic,cim,10,20,13,1,20,3000,0,2
4542121016676925056,periodic,cim,10,20,13,1,21,2917,1,4
2016039612772699309,periodic,cim,10,20,13,1,22,2959,1,3
13617249268579499145,periodic,cim,10,20,13,1,23,3041,2,4
17003075445106920319,periodic,cim,10,20,13,1,24,2917,1,1
16730345385086294412,periodic,cim,10,20,13,1,25,2959,1,2
6523383552546020083,periodic,cim,10,20,13,1,26,2958,1,1
18003027251861483086,periodic,cim,10,20,13,1,27,2959,1,3
6393846492607314940,periodic,cim,10,20,13,1,28,2958,0,4
10089112505037918849,periodic,cim,10,20,13,1,29,6375,1,3
8173223326991257804,periodic,cim,10,20,13,1,30,2958,0,3
3088089811764153934,periodic,cim,10,20,13,1,31,3000,1,3
10964751293768270202,periodic,cim,10,20,13,1,32,3125,2,4
12439547812133610966,periodic,cim,10,20,13,1,33,3000,0,3
11054609292676338467,periodic,cim,10,20,13,1,34,2958,0,2
2370782159929145793,periodic,cim,10,20,13,1,35,2958,0,3
15747341588691838655,periodic,cim,10,20,13,1,36,2917,0,1
6409644600979110861,periodic,cim,10,20,13,1,37,2958,1,2
16547418257361919015,periodic,cim,10,20,13,1,38,3000,1,2
7274430431750687238,periodic,cim,10,20,13,1,39,3000,1,2
11980730299309935333,periodic,cim,10,20,13,1,40,3125,3,5
15043892635831326525,periodic,cim,10,20,13,1,41,2833,0,0
16605365493255366801,periodic,cim,10,20,13,1,42,3041,2,4
8987753497582202347,periodic,cim,10,20,13,1,43,3000,1,4
3672974933953097036,periodic,cim,10,20,13,1,44,2917,1,3
16454899460586941702,periodic,cim,10,20,13,1,45,2875,0,1
14814118325053841516,periodic,cim,10,20,13,1,46,2959,0,2
17648440152642267656,periodic,cim,10,20,13,1,47,3000,2,3
6140706264052265957,periodic,cim,10,20,13,1,48,2917,0,1
15676593899658331137,periodic,cim,10,20,13,1,49,2917,0,1
11667889088888998591,periodic,cim,10,20,13,1,50,2958,0,2
247342780174056460,periodic,cim,10,20,13,1,51,2958,0,2
10627344537843811230,periodic,cim,10,20,13,1,52,2958,0,3
17670742835338188621,periodic,cim,10,20,13,1,53,2958,0,4
17112920749291582904,periodic,cim,10,20,13,1,54,3042,1,5
13246773248193168064,periodic,cim,10,20,13,1,55,2917,0,1
10345000387056122040,periodic,cim,10,20,13,1,56,2875,0,2
13898440598631665515,periodic,cim,10,20,13,1,57,2959,0,3
1075047786268623309,periodic,cim,10,20,13,1,58,2959,0,4
7716988193797485052,periodic,cim,10,20,13,1,59,2958,1,2
10270333542328136183,periodic,cim,10,20,13,1,60,2959,0,4
14425112792377533538,periodic,cim,10,20,13,1,61,2958,2,2
5952632491516069106,periodic,cim,10,20,13,1,62,2958,0,2
18259886764431527760,periodic,cim,10,20,13,1,63,2917,1,3
9651357605087572277,periodic,cim,10,20,13,1,64,2917,0,0
4640123010171848714,periodic,cim,10,20,13,1,65,2958,0,2
266442057218302048,periodic,cim,10,20,13,1,66,2959,1,4
14205616714116156266,periodic,cim,10,20,13,1,67,3000,1,2
2108712945856584391,periodic,cim,10,20,13,1,68,3000,2,3
13421879142210187508,periodic,cim,10,20,13,1,69,2958,0,2
17017716399543753287,periodic,cim,10,20,13,1,70,2916,0,2
1309560248731209350,periodic,cim,10,20,13,1,71,2917,1,1
