seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
9124126403165473688,walls,brute_force,10,2.8284271247461903,1,1,1,1541,24,45
10369663387754198738,walls,brute_force,10,2.8284271247461903,1,1,2,1541,27,45
7149516706097636821,walls,brute_force,10,2.8284271247461903,1,1,3,1500,30,45
1621597470665901496,walls,brute_force,10,2.8284271247461903,1,1,4,1625,30,45
15628329625244518416,walls,brute_force,10,2.8284271247461903,1,1,5,1584,28,45
5519740720584072557,walls,brute_force,10,2.8284271247461903,1,1,6,1500,27,45
104413019284199488,walls,brute_force,10,2.8284271247461903,1,1,7,1583,30,45
1861357901836514318,walls,brute_force,10,2.8284271247461903,1,1,8,1500,28,45
11610169696663068251,walls,brute_force,10,2.8284271247461903,1,1,9,1667,30,45
1258039304734096599,walls,brute_force,10,2.8284271247461903,1,1,10,1667,29,45
4501329833111694188,walls,brute_force,10,2.8284271247461903,1,1,11,1666,31,45
925939744208488337,walls,brute_force,10,2.8284271247461903,1,1,12,1625,28,45
2533983268624770391,walls,brute_force,10,2.8284271247461903,1,1,13,1541,30,45
17826885265659438208,walls,brute_force,10,2.8284271247461903,1,1,14,1500,30,45
10013961471125760504,walls,brute_force,10,2.8284271247461903,1,1,15,1500,26,45
17612591611515628489,walls,brute_force,10,2.8284271247461903,1,1,16,1417,26,45
4248332563256200851,walls,brute_force,10,2.8284271247461903,1,1,17,1541,29,45
2563170975166147122,walls,brute_force,10,2.8284271247461903,1,1,18,1583,29,45
17925366003550246389,walls,brute_force,10,2.8284271247461903,1,1,19,1500,29,45
9492366925623152484,walls,brute_force,10,2.8284271247461903,1,1,20,1458,28,45
7704236062484233734,walls,brute_force,10,2.8284271247461903,1,1,21,1709,32,45
17202940863478496974,walls,brute_force,10,2.8284271247461903,1,1,22,1542,26,45
10140724480180667348,walls,brute_force,10,2.8284271247461903,1,1,23,1625,23,45
15042118446058904908,walls,brute_force,10,2.8284271247461903,1,1,24,1459,30,45
11495904673256184391,walls,brute_force,10,2.8284271247461903,1,1,25,1583,24,45
8367748110175155973,walls,brute_force,10,2.8284271247461903,1,1,26,1542,31,45
2552391576408137855,walls,brute_force,10,2.8284271247461903,1,1,27,1667,24,45
1184263933174061775,walls,brute_force,10,2.8284271247461903,1,1,28,1542,20,45
10239366539137474785,walls,brute_force,10,2.8284271247461903,1,1,29,1666,30,45
1965658191405633296,walls,brute_force,10,2.8284271247461903,1,1,30,1708,29,45
4721310909629912925,walls,brute_force,10,2.8284271247461903,1,1,31,1542,28,45
16564056784706451767,walls,brute_force,10,2.8284271247461903,1,1,32,1625,27,45
3288190738108695577,walls,brute_force,10,2.8284271247461903,1,1,33,1500,29,45
14613098836318407673,walls,brute_force,10,2.8284271247461903,1,1,34,1625,28,45
18016376473218924770,walls,brute_force,10,2.8284271247461903,1,1,35,1667,20,45
15074371823142268163,walls,brute_force,10,2.8284271247461903,1,1,36,1500,29,45
2393590009567490959,walls,brute_force,10,2.8284271247461903,1,1,37,1500,21,45
2707464245672574524,walls,brute_force,10,2.8284271247461903,1,1,38,1708,27,45
14043976408952209249,walls,brute_force,10,2.8284271247461903,1,1,39,1583,25,45
16002769320442918069,walls,brute_force,10,2.8284271247461903,1,1,40,1667,31,45
2313634912466675440,walls,brute_force,10,2.8284271247461903,1,1,41,1458,29,45
