seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
3662204886118414363,walls,cim,10,20,13,1,1,3250,0,1
9733875956585062991,walls,cim,10,20,13,1,2,3084,0,0
11651192460934476997,walls,cim,10,20,13,1,3,3209,0,2
15313655022370399740,walls,cim,10,20,13,1,4,3125,1,1
15468450336808869268,walls,cim,10,20,13,1,5,3083,0,0
2957635305224569876,walls,cim,10,20,13,1,6,3125,0,2
17308391742034466801,walls,cim,10,20,13,1,7,3125,1,1
10240031235363637605,walls,cim,10,20,13,1,8,3667,1,3
4452567934257374780,walls,cim,10,20,13,1,9,3167,1,4
8923585271367340284,walls,cim,10,20,13,1,10,3333,2,5
6796682823737798520,walls,cim,10,20,13,1,11,3125,0,0
9755386526645574011,walls,cim,10,20,13,1,12,3209,2,2
6306765086176974246,walls,cim,10,20,13,1,13,3208,1,4
1784931411833617182,walls,cim,10,20,13,1,14,3125,1,1
11999204367470571445,walls,cim,10,20,13,1,15,3167,1,3
14550852802562716731,walls,cim,10,20,13,1,16,3125,0,1
4513267563866385253,walls,cim,10,20,13,1,17,3208,1,2
4691233368695117359,walls,cim,10,20,13,1,18,3167,0,3
6403758524350319486,walls,cim,10,20,13,1,19,3708,0,2
15691505363248246157,walls,cim,10,20,13,1,20,3167,0,0
11240643039214534521,walls,cim,10,20,13,1,21,3208,0,1
11367072560402792808,walls,cim,10,20,13,1,22,3125,1,3
17115815762528526253,walls,cim,10,20,13,1,23,3250,1,4
16275996722774852022,walls,cim,10,20,13,1,24,3250,1,4
11319376964514095967,walls,cim,10,20,13,1,25,3209,1,2
9171244492621752011,walls,cim,10,20,13,1,26,3125,1,2
16958473419484105153,walls,cim,10,20,13,1,27,3083,0,0
2827226832634279637,walls,cim,10,20,13,1,28,3209,2,2
11852192321900954806,walls,cim,10,20,13,1,29,3125,0,2
1074141284553423790,walls,cim,10,20,13,1,30,3209,1,1
11397624378762805820,walls,cim,10,20,13,1,31,3334,2,5
8924782464597155965,walls,cim,10,20,13,1,32,3375,3,7
12772620582712471890,walls,cim,10,20,13,1,33,3125,0,1
13860170755697837131,walls,cim,10,20,13,1,34,3209,2,2
176631143866424329,walls,cim,10,20,13,1,35,3208,1,4
15324806830092301136,walls,cim,10,20,13,1,36,3208,1,6
11265427475525063645,walls,cim,10,20,13,1,37,3166,0,1
7404405728544543830,walls,cim,10,20,13,1,38,3125,1,2
17189779138392143222,walls,cim,10,20,13,1,39,3125,0,1
4675408204755042913,walls,cim,10,20,13,1,40,3125,0,3
17701683908104939212,walls,cim,10,20,13,1,41,3084,0,0
4247760472666101934,walls,cim,10,20,13,1,42,3167,1,4
10907749697094381076,walls,cim,10,20,13,1,43,3167,1,2
7218748094817911124,walls,cim,10,20,13,1,44,3125,0,3
2992826064487640271,walls,cim,10,20,13,1,45,3167,2,4
12856974004033314692,walls,cim,10,20,13,1,46,3084,0,0
17755129443225980610,walls,cim,10,20,13,1,47,3084,0,0
2928383767797764966,walls,cim,10,20,13,1,48,3166,1,4
1467857418594018555,walls,cim,10,20,13,1,49,3250,2,3
3833045474052387530,walls,cim,10,20,13,1,50,3042,0,0
2605064693551080604,walls,cim,10,20,13,1,51,3084,0,0
16640981808182745774,walls,cim,10,20,13,1,52,3125,0,2
7515289755042186525,walls,cim,10,20,13,1,53,3208,2,3
35674658240680770,walls,cim,10,20,13,1,54,3083,0,1
887371103022016262,walls,cim,10,20,13,1,55,3250,2,5
15334930381086963734,walls,cim,10,20,13,1,56,3084,0,1
5649334975254300944,walls,cim,10,20,13,1,57,3209,1,1
12152142604960836034,walls,cim,10,20,13,1,58,3042,0,0
16194994858661832189,walls,cim,10,20,13,1,59,3167,0,3
7388217368744317277,walls,cim,10,20,13,1,60,3208,1,3
684373634363594146,walls,cim,10,20,13,1,61,3125,0,2
2441801879147772355,walls,cim,10,20,13,1,62,3334,3,5
12200434581919271885,walls,cim,10,20,13,1,63,3083,0,1
8150922623499062963,walls,cim,10,20,13,1,64,3125,1,1
7027455939199882308,walls,cim,10,20,13,1,65,3125,1,1
4316504455460452504,walls,cim,10,20,13,1,66,3209,1,3
6049568764724567123,walls,cim,10,20,13,1,67,3166,1,3
15709458319943561329,walls,cim,10,20,13,1,68,3083,0,1
15823447757749962208,walls,cim,10,20,13,1,69,3125,0,3
15040766062190099561,walls,cim,10,20,13,1,70,3209,2,6
383863384095183881,walls,cim,10,20,13,1,71,3083,0,0
7411523141840058706,walls,cim,10,20,13,1,72,3125,0,2
11166416059998413286,walls,cim,10,20,13,1,73,3167,1,2
2256113537560474927,walls,cim,10,20,13,1,74,3125,1,1
10712314522094560283,walls,cim,10,20,13,1,75,3167,1,3
