boundary,N,L,rc,M,method,samples,seed_count,mean_time_ns,stddev_time_ns,mean_neighbor_pairs,mean_distance_evaluations
periodic,500,20,1,1,brute_force,100,100,2156752.040000,340965.221709,2017.100000,124750.000000
periodic,500,20,1,2,cim,100,100,2061683.330000,130035.889591,2017.100000,124750.000000
periodic,500,20,1,3,cim,100,100,2086358.390000,458099.633447,2017.100000,124750.000000
periodic,500,20,1,4,cim,100,100,1213858.360000,33820.522734,2017.100000,70107.560000
periodic,500,20,1,5,cim,100,100,832416.640000,26455.380877,2017.100000,44813.380000
periodic,500,20,1,6,cim,100,100,624090.800000,16929.605846,2017.100000,31079.160000
periodic,500,20,1,7,cim,100,100,496442.060000,22642.715328,2017.100000,22795.200000
periodic,500,20,1,8,cim,100,100,415658.730000,75394.401102,2017.100000,17412.910000
periodic,500,20,1,9,cim,100,100,356437.480000,60796.953538,2017.100000,13727.000000
periodic,500,20,1,10,cim,100,100,309937.830000,12744.285263,2017.100000,11083.460000
periodic,500,20,1,11,cim,100,100,279084.080000,9371.443348,2017.100000,9134.630000
periodic,500,20,1,12,cim,100,100,261149.140000,14255.913177,2017.100000,7651.010000
periodic,500,20,1,13,cim,100,100,244081.260000,10807.206541,2017.100000,6495.070000
periodic,1050,20,1,1,brute_force,100,100,9463047.550000,458014.145938,9139.950000,550725.000000
periodic,1050,20,1,2,cim,100,100,9253704.650000,1240880.241976,9139.950000,550725.000000
periodic,1050,20,1,3,cim,100,100,9127678.810000,653437.295778,9139.950000,550725.000000
periodic,1050,20,1,4,cim,100,100,5321318.660000,141519.525928,9139.950000,309581.270000
periodic,1050,20,1,5,cim,100,100,3628927.450000,124450.227708,9139.950000,197969.920000
periodic,1050,20,1,6,cim,100,100,2703539.970000,92129.211553,9139.950000,137337.590000
periodic,1050,20,1,7,cim,100,100,2145081.710000,99905.904840,9139.950000,100774.990000
periodic,1050,20,1,8,cim,100,100,1771963.380000,229557.194966,9139.950000,77043.970000
periodic,1050,20,1,9,cim,100,100,1460936.250000,61786.737302,9139.950000,60776.670000
periodic,1050,20,1,10,cim,100,100,1290587.920000,60873.009991,9139.950000,49139.570000
periodic,1050,20,1,11,cim,100,100,1180142.110000,163106.037330,9139.950000,40532.610000
periodic,1050,20,1,12,cim,100,100,1066079.980000,32232.586125,9139.950000,33979.530000
periodic,1050,20,1,13,cim,100,100,995798.350000,32775.443554,9139.950000,28881.090000
