boundary,N,L,rc,M,method,samples,seed_count,mean_time_ns,stddev_time_ns,mean_neighbor_pairs,mean_distance_evaluations
walls,500,20,1,1,brute_force,100,100,1900785.390000,61303.518306,1940.760000,124750.000000
walls,500,20,1,2,cim,100,100,1896331.210000,71414.275164,1940.760000,124750.000000
walls,500,20,1,3,cim,100,100,1228931.650000,180196.735443,1940.760000,76066.590000
walls,500,20,1,4,cim,100,100,840519.670000,117755.600319,1940.760000,49262.390000
walls,500,20,1,5,cim,100,100,626551.260000,91009.464359,1940.760000,34154.950000
walls,500,20,1,6,cim,100,100,490007.940000,26285.856854,1940.760000,24949.380000
walls,500,20,1,7,cim,100,100,403803.710000,22724.653584,1940.760000,18975.220000
walls,500,20,1,8,cim,100,100,345328.290000,31331.603942,1940.760000,14886.170000
walls,500,20,1,9,cim,100,100,309065.020000,78949.443618,1940.760000,11980.750000
walls,500,20,1,10,cim,100,100,276261.220000,68540.270403,1940.760000,9836.320000
walls,500,20,1,11,cim,100,100,253586.660000,35901.603897,1940.760000,8214.010000
walls,500,20,1,12,cim,100,100,234570.010000,24999.591744,1940.760000,6947.310000
walls,500,20,1,13,cim,100,100,224755.030000,35450.113769,1940.760000,5956.680000
walls,1050,20,1,1,brute_force,100,100,8305316.670000,197792.640898,8721.270000,550725.000000
walls,1050,20,1,2,cim,100,100,8346768.370000,989777.078301,8721.270000,550725.000000
walls,1050,20,1,3,cim,100,100,5335351.230000,1273345.433660,8721.270000,334885.640000
walls,1050,20,1,4,cim,100,100,3599651.740000,675590.071698,8721.270000,216531.520000
walls,1050,20,1,5,cim,100,100,2643482.950000,225647.127310,8721.270000,150047.210000
walls,1050,20,1,6,cim,100,100,2062057.450000,71021.741622,8721.270000,109541.780000
walls,1050,20,1,7,cim,100,100,1702593.380000,168351.389773,8721.270000,83301.280000
walls,1050,20,1,8,cim,100,100,1433493.270000,201195.098913,8721.270000,65433.330000
walls,1050,20,1,9,cim,100,100,1237007.050000,124763.471983,8721.270000,52656.520000
walls,1050,20,1,10,cim,100,100,1109590.390000,201506.381983,8721.270000,43252.390000
walls,1050,20,1,11,cim,100,100,997617.060000,46030.113679,8721.270000,36143.480000
walls,1050,20,1,12,cim,100,100,941011.250000,142956.928811,8721.270000,30619.770000
walls,1050,20,1,13,cim,100,100,878431.200000,62302.032276,8721.270000,26274.340000
