regime,boundary,N,L,density,rc,M,method,samples,seed_count,mean_time_ns,stddev_time_ns,mean_neighbor_pairs,mean_distance_evaluations
fixed,periodic,10,2.8284271247461903,1.2499999999999998,1,1,brute_force,100,100,1621.700000,63.897183,37.810000,45.000000
fixed,periodic,25,4.4721359549995796,1.2499999999999998,1,2,cim,100,100,9937.440000,1567.247162,99.920000,300.000000
fixed,periodic,50,6.324555320336759,1.2499999999999998,1,4,cim,100,100,22220.410000,2608.182260,200.300000,682.610000
fixed,periodic,100,8.9442719099991592,1.2499999999999998,1,5,cim,100,100,52645.450000,3279.937052,403.830000,1763.560000
fixed,periodic,200,12.649110640673518,1.2499999999999998,1,8,cim,100,100,95627.960000,6179.947804,806.060000,2744.560000
fixed,periodic,350,16.733200530681511,1.25,1,10,cim,100,100,177405.890000,5497.625334,1411.410000,5402.220000
fixed,periodic,500,20,1.25,1,13,cim,100,100,244401.620000,13724.323213,2015.710000,6496.860000
fixed,periodic,650,22.803508501982758,1.25,1,14,cim,100,100,357102.080000,103014.255283,2619.670000,9489.830000
fixed,periodic,800,25.298221281347036,1.2499999999999998,1,16,cim,100,100,406791.620000,19400.915517,3221.610000,10994.880000
fixed,periodic,950,27.568097504180443,1.25,1,17,cim,100,100,497193.790000,17960.390158,3821.910000,13732.390000
fixed,periodic,1050,28.982753492378876,1.2500000000000002,1,18,cim,100,100,557033.730000,26935.552885,4225.090000,14963.730000
free,periodic,10,20,0.025000000000000001,1,13,cim,100,100,2989.610000,344.213041,0.650000,2.330000
free,periodic,25,20,0.0625,1,13,cim,100,100,4039.150000,1016.640265,4.870000,15.850000
free,periodic,50,20,0.125,1,13,cim,100,100,6487.960000,876.816867,20.110000,63.840000
free,periodic,100,20,0.25,1,13,cim,100,100,14567.490000,1510.422388,78.850000,258.760000
free,periodic,200,20,0.5,1,13,cim,100,100,44956.360000,3101.497356,314.080000,1027.140000
free,periodic,350,20,0.875,1,13,cim,100,100,124188.360000,5523.448561,980.670000,3173.570000
free,periodic,500,20,1.25,1,13,cim,100,100,240929.170000,9145.834125,2015.890000,6492.980000
free,periodic,650,20,1.625,1,13,cim,100,100,397771.600000,15017.783550,3435.950000,11006.160000
free,periodic,800,20,2,1,13,cim,100,100,582239.560000,17003.072073,5245.670000,16709.650000
free,periodic,950,20,2.375,1,13,cim,100,100,809954.930000,20678.262156,7451.080000,23615.760000
free,periodic,1050,20,2.625,1,13,cim,100,100,1010940.430000,37294.305889,9139.670000,28881.650000
