regime,boundary,N,L,density,rc,M,method,samples,seed_count,mean_time_ns,stddev_time_ns,mean_neighbor_pairs,mean_distance_evaluations
fixed,walls,10,2.8284271247461903,1.2499999999999998,1,1,brute_force,100,100,1562.860000,73.948363,27.320000,45.000000
fixed,walls,25,4.4721359549995796,1.2499999999999998,1,2,cim,100,100,8441.600000,767.139440,82.520000,300.000000
fixed,walls,50,6.324555320336759,1.2499999999999998,1,4,cim,100,100,16878.760000,2238.150474,177.360000,493.480000
fixed,walls,100,8.9442719099991592,1.2499999999999998,1,5,cim,100,100,42256.260000,4586.545298,372.120000,1370.660000
fixed,walls,200,12.649110640673518,1.2499999999999998,1,8,cim,100,100,81657.090000,4514.849324,762.430000,2371.590000
fixed,walls,350,16.733200530681511,1.25,1,10,cim,100,100,154305.420000,5185.581802,1352.030000,4812.980000
fixed,walls,500,20,1.25,1,13,cim,100,100,216118.380000,9620.547450,1943.990000,5949.420000
fixed,walls,650,22.803508501982758,1.25,1,14,cim,100,100,295387.030000,9642.537686,2538.420000,8738.550000
fixed,walls,800,25.298221281347036,1.2499999999999998,1,16,cim,100,100,361098.390000,10444.131134,3137.490000,10256.290000
fixed,walls,950,27.568097504180443,1.25,1,17,cim,100,100,447000.830000,19805.493591,3732.460000,12867.660000
fixed,walls,1050,28.982753492378876,1.2500000000000002,1,18,cim,100,100,492981.690000,14758.382831,4124.700000,14064.620000
free,walls,10,20,0.025000000000000001,1,13,cim,100,100,3169.640000,97.928905,0.730000,2.240000
free,walls,25,20,0.0625,1,13,cim,100,100,4025.850000,155.682136,4.680000,14.750000
free,walls,50,20,0.125,1,13,cim,100,100,6320.430000,380.742203,18.640000,58.760000
free,walls,100,20,0.25,1,13,cim,100,100,13975.790000,1607.301007,74.640000,236.870000
free,walls,200,20,0.5,1,13,cim,100,100,40643.370000,2083.258705,305.510000,950.770000
free,walls,350,20,0.875,1,13,cim,100,100,112022.040000,6472.753329,945.450000,2921.830000
free,walls,500,20,1.25,1,13,cim,100,100,217386.740000,10205.717820,1945.830000,5959.070000
free,walls,650,20,1.625,1,13,cim,100,100,347940.440000,11805.687077,3303.380000,10064.310000
free,walls,800,20,2,1,13,cim,100,100,508258.320000,16852.129229,5030.010000,15248.240000
free,walls,950,20,2.375,1,13,cim,100,100,710664.200000,18866.112203,7132.640000,21513.720000
free,walls,1050,20,2.625,1,13,cim,100,100,873469.090000,24755.126573,8722.650000,26258.560000
