model,density,eta,stationary_start
vicsek,0.11,0,20000
vicsek,0.11,0.125,4000
vicsek,0.11,0.25,4000
vicsek,0.11,0.375,4000
vicsek,0.11,0.5,4000
vicsek,0.11,0.625,4000
vicsek,0.11,0.75,4000
vicsek,0.11,0.875,4000
vicsek,0.11,1,4000
vicsek,0.16,0,20000
vicsek,0.16,0.125,4000
vicsek,0.16,0.25,4000
vicsek,0.16,0.375,4000
vicsek,0.16,0.5,4000
vicsek,0.16,0.625,4000
vicsek,0.16,0.75,4000
vicsek,0.16,0.875,4000
vicsek,0.16,1,4000
vicsek,0.32,0,20000
vicsek,0.32,0.125,4000
vicsek,0.32,0.25,4000
vicsek,0.32,0.375,4000
vicsek,0.32,0.5,4000
vicsek,0.32,0.625,4000
vicsek,0.32,0.75,4000
vicsek,0.32,0.875,4000
vicsek,0.32,1,4000
voter,0.11,0,20000
voter,0.11,0.125,4000
voter,0.11,0.25,4000
voter,0.11,0.375,4000
voter,0.11,0.5,4000
voter,0.11,0.625,4000
voter,0.11,0.75,4000
voter,0.11,0.875,4000
voter,0.11,1,4000
voter,0.16,0,20000
voter,0.16,0.125,4000
voter,0.16,0.25,4000
voter,0.16,0.375,4000
voter,0.16,0.5,4000
voter,0.16,0.625,4000
voter,0.16,0.75,4000
voter,0.16,0.875,4000
voter,0.16,1,4000
voter,0.32,0,20000
voter,0.32,0.125,4000
voter,0.32,0.25,4000
voter,0.32,0.375,4000
voter,0.32,0.5,4000
voter,0.32,0.625,4000
voter,0.32,0.75,4000
voter,0.32,0.875,4000
voter,0.32,1,4000
