model,density,eta,seed,block_start,block_end,samples,polarization_mean,polarization_std,cluster_mean,cluster_std
vicsek,4.0,0.5,1,0.0,1000.0,1000,0.49716080656768,0.09925808632682381,0.9960249999999999,0.008574549428273064
vicsek,4.0,0.5,1,1000.0,2000.0,1000,0.5489031322409649,0.038111199907757194,0.9938025,0.004951945629297184
vicsek,4.0,0.5,1,2000.0,3000.0,1000,0.43513973338230855,0.14876037915070495,0.9974550000000001,0.0037248287677891087
vicsek,4.0,0.5,1,3000.0,4000.0,1000,0.5102008772161691,0.09468673082206384,0.9953325,0.005630488091288899
vicsek,4.0,0.5,1,4000.0,5000.0,1000,0.46260211638537335,0.12928839292125235,0.98348,0.02711387582516124
vicsek,4.0,0.5,1,5000.0,6000.0,1000,0.507196122326197,0.05942280920732234,0.995955,0.007826987717937002
vicsek,4.0,0.5,1,6000.0,7000.0,1000,0.49072228105774157,0.09668240887037136,0.9924925000000001,0.012417140537544431
vicsek,4.0,0.5,1,7000.0,8000.0,1000,0.5123355118991987,0.056540622648466425,0.9889724999999999,0.015588248369757179
vicsek,4.0,0.5,1,8000.0,9000.0,1000,0.5398996035275059,0.048440499854025994,0.9959450000000001,0.008874019564054572
vicsek,4.0,0.5,1,9000.0,10000.0,1000,0.5289770626730337,0.053404854683937644,0.9922375000000001,0.00991391090233211
vicsek,4.0,0.5,2,0.0,1000.0,1000,0.5181989151833143,0.11241738458162262,0.9886950000000001,0.02009853044194839
vicsek,4.0,0.5,2,1000.0,2000.0,1000,0.5410939939724244,0.05982560152383552,0.9787175,0.020458005125713604
vicsek,4.0,0.5,2,2000.0,3000.0,1000,0.4953611562895082,0.08855086093994444,0.9962525000000001,0.00870277151153482
vicsek,4.0,0.5,2,3000.0,4000.0,1000,0.4976600535653198,0.12321105095084935,0.9956425,0.00571192347811311
vicsek,4.0,0.5,2,4000.0,5000.0,1000,0.5129182719893323,0.07498346252402029,0.9826625,0.018719782958785187
vicsek,4.0,0.5,2,5000.0,6000.0,1000,0.4783387036074571,0.13069671210962325,0.990245,0.014174480268810255
vicsek,4.0,0.5,2,6000.0,7000.0,1000,0.48810254449420903,0.08446626292933898,0.9905,0.01225612959758148
vicsek,4.0,0.5,2,7000.0,8000.0,1000,0.5208872996279993,0.053784712456505,0.9924350000000001,0.005743802422286675
vicsek,4.0,0.5,2,8000.0,9000.0,1000,0.5606315491418483,0.04786320439247879,0.992355,0.008527995174816982
vicsek,4.0,0.5,2,9000.0,10000.0,1000,0.5051844653420585,0.10475924831308918,0.9920924999999999,0.00604994178034348
vicsek,4.0,0.5,3,0.0,1000.0,1000,0.49128971091251067,0.07422872685410216,0.999085,0.0015050049966827315
vicsek,4.0,0.5,3,1000.0,2000.0,1000,0.49821480270144164,0.07103120424217861,0.9964400000000001,0.003648933366713439
vicsek,4.0,0.5,3,2000.0,3000.0,1000,0.5332339615486027,0.09021785556986045,0.9959975000000001,0.004246089144497922
vicsek,4.0,0.5,3,3000.0,4000.0,1000,0.4863669148542671,0.08737900564247042,0.9934275,0.010300587160247017
vicsek,4.0,0.5,3,4000.0,5000.0,1000,0.5104780431244744,0.0999677934532713,0.9926125000000001,0.009868053112049116
vicsek,4.0,0.5,3,5000.0,6000.0,1000,0.5826793947559946,0.028139841222279565,0.97597,0.016348972104963947
vicsek,4.0,0.5,3,6000.0,7000.0,1000,0.546353253776077,0.05342415436039926,0.9861325000000001,0.008940980644475469
vicsek,4.0,0.5,3,7000.0,8000.0,1000,0.5668537412894977,0.03582251732957417,0.98775,0.012127327490922
vicsek,4.0,0.5,3,8000.0,9000.0,1000,0.5321242692171217,0.05118136410199791,0.9915700000000001,0.01511583899717739
vicsek,4.0,0.5,3,9000.0,10000.0,1000,0.5307881484060395,0.05859026620446065,0.9938575000000001,0.008300291476122313
