model,density,eta,seed,block_start,block_end,samples,polarization_mean,polarization_std,cluster_mean,cluster_std
voter,0.32,0.25,1,0.0,1000.0,1000,0.2551507499358728,0.1203524923131274,0.29025,0.09227895768283814
voter,0.32,0.25,1,1000.0,2000.0,1000,0.2603732823876049,0.1335681763538316,0.36259375,0.09586571928782504
voter,0.32,0.25,1,2000.0,3000.0,1000,0.27560644048935135,0.13386161101983501,0.34734375,0.12707769873173047
voter,0.32,0.25,1,3000.0,4000.0,1000,0.2562822683196165,0.13385412909368066,0.3535625,0.029152653755206762
voter,0.32,0.25,1,4000.0,5000.0,1000,0.26784720702482995,0.1361740494021406,0.39390625,0.12004935806496138
voter,0.32,0.25,1,5000.0,6000.0,1000,0.2696404644614763,0.12667453498176476,0.3946875,0.15158869177885673
voter,0.32,0.25,1,6000.0,7000.0,1000,0.25823332664066107,0.1248766252073283,0.3258125,0.09341324653590827
voter,0.32,0.25,1,7000.0,8000.0,1000,0.26959221152059826,0.13618662935481368,0.3945625,0.14294970518319358
voter,0.32,0.25,1,8000.0,9000.0,1000,0.2622899103566775,0.13773520844275544,0.250875,0.03690426024762486
voter,0.32,0.25,1,9000.0,10000.0,1000,0.25637722905159926,0.12401270739683241,0.35915625,0.09619431438269653
voter,0.32,0.25,2,0.0,1000.0,1000,0.25124836630016556,0.13247167858715447,0.3253125,0.12931998009202214
voter,0.32,0.25,2,1000.0,2000.0,1000,0.2738289764233029,0.1335777341640959,0.35140625,0.09189637624740654
voter,0.32,0.25,2,2000.0,3000.0,1000,0.2691953612575691,0.12128507718051956,0.32,0.07791607449470657
voter,0.32,0.25,2,3000.0,4000.0,1000,0.28746317186932324,0.13606419119042565,0.49878125,0.11007759553140446
voter,0.32,0.25,2,4000.0,5000.0,1000,0.28427418895259177,0.13475612527899095,0.59396875,0.13310847203038492
voter,0.32,0.25,2,5000.0,6000.0,1000,0.2837095164388439,0.1418645492724469,0.34834375,0.10009590445430835
voter,0.32,0.25,2,6000.0,7000.0,1000,0.25529702039648344,0.12618527420204578,0.39459375,0.07268081090433164
voter,0.32,0.25,2,7000.0,8000.0,1000,0.26399881803013925,0.13301532266212893,0.38278125,0.07400780949875699
voter,0.32,0.25,2,8000.0,9000.0,1000,0.2690434164388988,0.12450168940086902,0.40103125,0.1118554579777711
voter,0.32,0.25,2,9000.0,10000.0,1000,0.2730258684336768,0.1388022188552835,0.4273125,0.12202303097710218
voter,0.32,0.25,3,0.0,1000.0,1000,0.23632286434151875,0.12347441822666544,0.33953125,0.08525133577363282
voter,0.32,0.25,3,1000.0,2000.0,1000,0.276238215776427,0.1356742766887161,0.353,0.12272064713092183
voter,0.32,0.25,3,2000.0,3000.0,1000,0.250142715840685,0.12629757049200824,0.28215625,0.06077254067535467
voter,0.32,0.25,3,3000.0,4000.0,1000,0.269662702067733,0.13120289359448797,0.30228125,0.10192823431654445
voter,0.32,0.25,3,4000.0,5000.0,1000,0.25202545506463286,0.11643928010488735,0.42703125,0.08233480570918152
voter,0.32,0.25,3,5000.0,6000.0,1000,0.2579685863390438,0.1267523905066994,0.4429375,0.11977523878739119
voter,0.32,0.25,3,6000.0,7000.0,1000,0.2870523580245959,0.13818201163470392,0.51775,0.1927682471183911
voter,0.32,0.25,3,7000.0,8000.0,1000,0.2514075796773172,0.13171331339282072,0.45778125,0.12025610532028844
voter,0.32,0.25,3,8000.0,9000.0,1000,0.29471228358095636,0.13431071857542037,0.58815625,0.11551778654148868
voter,0.32,0.25,3,9000.0,10000.0,1000,0.28398340796247706,0.15141272155706637,0.47296875,0.07948346577917806
