model,density,seed,first_stable_va0999,final_time,final_va,final_S
vicsek,0.11,1,1103,30000,0.9999999999999999,1.0
vicsek,0.11,2,211,30000,1.0,1.0
vicsek,0.11,3,1304,30000,1.0,1.0
vicsek,0.11,4,2258,30000,1.0,1.0
vicsek,0.11,5,939,30000,1.0,1.0
vicsek,0.11,6,1143,30000,1.0000000000000002,1.0
vicsek,0.11,7,1350,30000,0.9999999999999999,1.0
vicsek,0.11,8,909,30000,0.9999999999999999,1.0
vicsek,0.11,9,616,30000,1.0000000000000002,1.0
vicsek,0.11,10,215,30000,1.0,1.0
vicsek,0.11,11,1971,30000,1.0,1.0
vicsek,0.11,12,1851,30000,1.0,1.0
vicsek,0.11,13,1776,30000,1.0,1.0
vicsek,0.11,14,2800,30000,1.0,1.0
vicsek,0.11,15,3951,30000,1.0,1.0
vicsek,0.11,16,2012,30000,0.9999999999999999,1.0
vicsek,0.11,17,1033,30000,1.0000000000000002,1.0
vicsek,0.11,18,5424,30000,1.0000000000000002,1.0
vicsek,0.11,19,3303,30000,1.0,1.0
vicsek,0.11,20,1399,30000,1.0,1.0
vicsek,0.11,21,1255,30000,1.0,1.0
vicsek,0.11,22,709,30000,1.0,1.0
vicsek,0.11,23,755,30000,1.0,1.0
vicsek,0.11,24,1358,30000,0.9999999999999999,1.0
vicsek,0.11,25,4715,30000,1.0000000000000002,1.0
vicsek,0.11,26,638,30000,1.0000000000000002,1.0
vicsek,0.11,27,2113,30000,1.0,1.0
vicsek,0.11,28,1021,30000,0.9999999999999999,1.0
vicsek,0.11,29,2807,30000,0.9998410730799513,0.9090909090909091
vicsek,0.11,30,1374,30000,1.0,1.0
vicsek,0.11,31,1230,30000,1.0,1.0
vicsek,0.11,32,1694,30000,1.0,1.0
vicsek,0.11,33,1715,30000,1.0,1.0
vicsek,0.11,34,3203,30000,1.0,1.0
vicsek,0.11,35,1799,30000,1.0,1.0
vicsek,0.11,36,1057,30000,1.0,1.0
vicsek,0.11,37,738,30000,1.0,1.0
vicsek,0.11,38,1232,30000,1.0,1.0
vicsek,0.11,39,3359,30000,1.0,1.0
vicsek,0.11,40,651,30000,1.0,1.0
vicsek,0.11,41,786,30000,1.0000000000000002,1.0
vicsek,0.11,42,518,30000,1.0000000000000002,1.0
vicsek,0.11,43,1328,30000,0.9999999999999999,1.0
vicsek,0.11,44,2585,30000,1.0000000000000002,1.0
vicsek,0.11,45,420,30000,0.9999999999999999,1.0
vicsek,0.11,46,734,30000,0.9999986150586387,0.9090909090909091
vicsek,0.11,47,955,30000,0.9999999999999999,1.0
vicsek,0.11,48,690,30000,1.0,1.0
vicsek,0.11,49,512,30000,1.0,1.0
vicsek,0.11,50,653,30000,1.0000000000000002,1.0
vicsek,0.11,51,571,30000,0.9999999999999999,1.0
vicsek,0.11,52,7403,30000,1.0,1.0
vicsek,0.11,53,1905,30000,1.0000000000000002,1.0
vicsek,0.11,54,754,30000,1.0,1.0
vicsek,0.11,55,1001,30000,0.9999999999999999,1.0
vicsek,0.11,56,2168,30000,1.0,1.0
vicsek,0.11,57,6435,30000,1.0,1.0
vicsek,0.11,58,586,30000,1.0000000000000002,1.0
vicsek,0.11,59,384,30000,1.0,1.0
vicsek,0.11,60,1079,30000,0.9999999999999999,1.0
vicsek,0.11,61,4063,30000,1.0,1.0
vicsek,0.11,62,614,30000,1.0,1.0
vicsek,0.11,63,820,30000,1.0,1.0
vicsek,0.11,64,891,30000,1.0,1.0
vicsek,0.11,65,1427,30000,1.0,1.0
vicsek,0.11,66,1864,30000,0.9999999999999999,1.0
vicsek,0.11,67,721,30000,1.0,1.0
vicsek,0.11,68,721,30000,1.0,1.0
vicsek,0.11,69,97926,300000,1.0,1.0
vicsek,0.11,70,312,30000,0.9999999999999999,1.0
vicsek,0.11,71,380,30000,1.0000000000000002,1.0
vicsek,0.11,72,949,30000,1.0,1.0
vicsek,0.11,73,1682,30000,1.0,1.0
vicsek,0.11,74,1276,30000,0.9999999999999999,1.0
vicsek,0.11,75,1004,30000,1.0,1.0
vicsek,0.11,76,327,30000,0.9997148026292737,0.45454545454545453
vicsek,0.11,77,663,30000,1.0,1.0
vicsek,0.11,78,1749,30000,1.0,1.0
vicsek,0.11,79,519,30000,0.999999969295527,0.9090909090909091
vicsek,0.11,80,3308,30000,0.9999999999999999,1.0
vicsek,0.11,81,3172,30000,1.0,1.0
vicsek,0.11,82,1423,30000,1.0,1.0
vicsek,0.11,83,1629,30000,1.0,1.0
vicsek,0.11,84,1429,30000,1.0,1.0
vicsek,0.11,85,17558,30000,0.9999999999999999,1.0
vicsek,0.11,86,773,30000,1.0,1.0
vicsek,0.11,87,1085,30000,1.0,1.0
vicsek,0.11,88,3630,30000,1.0,1.0
vicsek,0.11,89,583,30000,1.0,1.0
vicsek,0.11,90,1393,30000,1.0000000000000002,1.0
vicsek,0.11,91,627,30000,1.0,1.0
vicsek,0.11,92,2631,30000,1.0,1.0
vicsek,0.11,93,976,30000,1.0,1.0
vicsek,0.11,94,1409,30000,1.0,1.0
vicsek,0.11,95,1633,30000,1.0000000000000002,1.0
vicsek,0.11,96,1110,30000,1.0,1.0
vicsek,0.11,97,583,30000,1.0,1.0
vicsek,0.11,98,668,30000,0.9999999999999999,1.0
vicsek,0.11,99,2579,30000,1.0,1.0
vicsek,0.11,100,380,30000,1.0000000000000002,1.0
vicsek,0.16,1,376,30000,0.9999999999999999,1.0
vicsek,0.16,2,509,30000,1.0,1.0
vicsek,0.16,3,2371,30000,1.0,1.0
vicsek,0.16,4,2677,30000,0.9999999999999999,1.0
vicsek,0.16,5,772,30000,1.0,1.0
vicsek,0.16,6,3735,30000,1.0,1.0
vicsek,0.16,7,708,30000,1.0,1.0
vicsek,0.16,8,2363,30000,1.0000000000000002,1.0
vicsek,0.16,9,1716,30000,1.0,1.0
vicsek,0.16,10,548,30000,1.0000000000000002,1.0
vicsek,0.16,11,296,30000,1.0000000000000002,1.0
vicsek,0.16,12,274,30000,0.9999999999999997,1.0
vicsek,0.16,13,2686,30000,1.0,1.0
vicsek,0.16,14,965,30000,1.0,1.0
vicsek,0.16,15,535,30000,1.0,1.0
vicsek,0.16,16,1029,30000,1.0,1.0
vicsek,0.16,17,791,30000,1.0,1.0
vicsek,0.16,18,465,30000,1.0,1.0
vicsek,0.16,19,1758,30000,1.0000000000000002,1.0
vicsek,0.16,20,3203,30000,1.0,1.0
vicsek,0.16,21,702,30000,0.9999999999999999,1.0
vicsek,0.16,22,3286,30000,1.0,1.0
vicsek,0.16,23,1052,30000,1.0,1.0
vicsek,0.16,24,1279,30000,1.0,1.0
vicsek,0.16,25,1898,30000,1.0,1.0
vicsek,0.16,26,301,30000,1.0000000000000002,1.0
vicsek,0.16,27,323,30000,1.0,1.0
vicsek,0.16,28,958,30000,1.0,1.0
vicsek,0.16,29,637,30000,1.0000000000000002,1.0
vicsek,0.16,30,634,30000,1.0,1.0
vicsek,0.16,31,391,30000,1.0,1.0
vicsek,0.16,32,608,30000,1.0000000000000002,1.0
vicsek,0.16,33,720,30000,1.0,1.0
vicsek,0.16,34,1224,30000,0.9999999999999998,1.0
vicsek,0.16,35,1339,30000,1.0,1.0
vicsek,0.16,36,1537,30000,0.9999999999999999,1.0
vicsek,0.16,37,1477,30000,1.0,1.0
vicsek,0.16,38,232,30000,1.0000000000000004,1.0
vicsek,0.16,39,427,30000,0.9999999999999998,1.0
vicsek,0.16,40,3592,30000,1.0,1.0
vicsek,0.16,41,511,30000,0.9999999999999998,1.0
vicsek,0.16,42,565,30000,1.0,1.0
vicsek,0.16,43,551,30000,1.0,1.0
vicsek,0.16,44,1308,30000,1.0,1.0
vicsek,0.16,45,1965,30000,1.0000000000000002,1.0
vicsek,0.16,46,922,30000,1.0,1.0
vicsek,0.16,47,2550,30000,1.0,1.0
vicsek,0.16,48,3020,30000,1.0,1.0
vicsek,0.16,49,3054,30000,0.9999999999999999,1.0
vicsek,0.16,50,609,30000,1.0,1.0
vicsek,0.16,51,995,30000,1.0000000000000002,1.0
vicsek,0.16,52,1094,30000,1.0000000000000002,1.0
vicsek,0.16,53,2180,30000,0.9999999999999999,1.0
vicsek,0.16,54,1459,30000,1.0,1.0
vicsek,0.16,55,993,30000,0.9999999999999998,1.0
vicsek,0.16,56,714,30000,1.0,1.0
vicsek,0.16,57,3191,30000,0.9999999999999999,1.0
vicsek,0.16,58,1047,30000,1.0000000000000002,1.0
vicsek,0.16,59,680,30000,0.9999999999999999,1.0
vicsek,0.16,60,4766,30000,1.0,1.0
vicsek,0.16,61,2513,30000,0.9999999999999997,1.0
vicsek,0.16,62,1007,30000,1.0,1.0
vicsek,0.16,63,602,30000,0.9999999999999999,1.0
vicsek,0.16,64,406,30000,1.0000000000000002,1.0
vicsek,0.16,65,1066,30000,1.0,1.0
vicsek,0.16,66,1263,30000,1.0000000000000002,1.0
vicsek,0.16,67,439,30000,1.0,1.0
vicsek,0.16,68,825,30000,1.0,1.0
vicsek,0.16,69,453,30000,1.0000000000000002,1.0
vicsek,0.16,70,3059,30000,1.0,1.0
vicsek,0.16,71,4491,30000,1.0,1.0
vicsek,0.16,72,634,30000,0.9999999999999999,1.0
vicsek,0.16,73,1366,30000,0.9999999999999999,1.0
vicsek,0.16,74,3797,30000,1.0,1.0
vicsek,0.16,75,1448,30000,1.0,1.0
vicsek,0.16,76,2615,30000,1.0,1.0
vicsek,0.16,77,1393,30000,1.0,1.0
vicsek,0.16,78,938,30000,1.0,1.0
vicsek,0.16,79,970,30000,1.0,1.0
vicsek,0.16,80,627,30000,0.9999999999999999,1.0
vicsek,0.16,81,1376,30000,1.0,1.0
vicsek,0.16,82,687,30000,1.0000000000000002,1.0
vicsek,0.16,83,1028,30000,0.9999999999999999,1.0
vicsek,0.16,84,632,30000,1.0,1.0
vicsek,0.16,85,1412,30000,1.0,1.0
vicsek,0.16,86,964,30000,1.0000000000000002,1.0
vicsek,0.16,87,1197,30000,1.0,1.0
vicsek,0.16,88,390,30000,1.0,1.0
vicsek,0.16,89,886,30000,1.0,1.0
vicsek,0.16,90,567,30000,1.0000000000000002,1.0
vicsek,0.16,91,889,30000,1.0000000000000002,1.0
vicsek,0.16,92,539,30000,0.9999996829524055,0.875
vicsek,0.16,93,721,30000,1.0,1.0
vicsek,0.16,94,605,30000,1.0000000000000002,1.0
vicsek,0.16,95,1344,30000,1.0,1.0
vicsek,0.16,96,2664,30000,1.0,1.0
vicsek,0.16,97,1019,30000,0.9999999999999999,1.0
vicsek,0.16,98,1926,30000,1.0,1.0
vicsek,0.16,99,1149,30000,1.0,1.0
vicsek,0.16,100,2149,30000,1.0,1.0
vicsek,0.32,1,417,30000,1.0000000000000002,1.0
vicsek,0.32,2,1696,30000,0.9999999999999999,1.0
vicsek,0.32,3,3942,30000,1.0,1.0
vicsek,0.32,4,519,30000,1.0000000000000002,1.0
vicsek,0.32,5,1420,30000,0.9999999999999999,1.0
vicsek,0.32,6,1520,30000,1.0000000000000002,1.0
vicsek,0.32,7,773,30000,1.0000000000000002,1.0
vicsek,0.32,8,966,30000,1.0,1.0
vicsek,0.32,9,971,30000,0.9999999999999996,1.0
vicsek,0.32,10,15624,30000,1.0,1.0
vicsek,0.32,11,565,30000,1.0,1.0
vicsek,0.32,12,863,30000,0.9999999999999999,1.0
vicsek,0.32,13,756,30000,1.0,1.0
vicsek,0.32,14,644,30000,1.0000000000000004,1.0
vicsek,0.32,15,806,30000,1.0,1.0
vicsek,0.32,16,2210,30000,1.0,1.0
vicsek,0.32,17,245,30000,1.0,1.0
vicsek,0.32,18,513,30000,0.9999999999999999,1.0
vicsek,0.32,19,2577,30000,1.0000000000000002,1.0
vicsek,0.32,20,2556,30000,0.9999999999999997,1.0
vicsek,0.32,21,101837,300000,1.0,1.0
vicsek,0.32,22,1358,30000,1.0,1.0
vicsek,0.32,23,354,30000,0.9999999999999994,1.0
vicsek,0.32,24,1656,30000,1.0,1.0
vicsek,0.32,25,416,30000,1.0,1.0
vicsek,0.32,26,1056,30000,1.0,1.0
vicsek,0.32,27,1086,30000,0.9999999999999997,1.0
vicsek,0.32,28,1239,30000,0.9999999999999999,1.0
vicsek,0.32,29,452,30000,1.0000000000000002,1.0
vicsek,0.32,30,367,30000,0.9999999999999997,1.0
vicsek,0.32,31,588,30000,1.0,1.0
vicsek,0.32,32,488,30000,0.9999999999999998,1.0
vicsek,0.32,33,558,30000,1.0,1.0
vicsek,0.32,34,942,30000,1.0000000000000002,1.0
vicsek,0.32,35,845,30000,1.0,1.0
vicsek,0.32,36,2403,30000,1.0000000000000002,1.0
vicsek,0.32,37,790,30000,0.9999999999999998,1.0
vicsek,0.32,38,1393,30000,0.9999999999999999,1.0
vicsek,0.32,39,324,30000,1.0000000000000002,1.0
vicsek,0.32,40,452,30000,0.9999999999999999,1.0
vicsek,0.32,41,2383,30000,1.0,1.0
vicsek,0.32,42,627,30000,1.0000000000000002,1.0
vicsek,0.32,43,581,30000,1.0,1.0
vicsek,0.32,44,475,30000,1.0,1.0
vicsek,0.32,45,934,30000,0.9999999999999997,1.0
vicsek,0.32,46,1783,30000,1.0000000000000002,1.0
vicsek,0.32,47,638,30000,1.0,1.0
vicsek,0.32,48,275,30000,1.0,1.0
vicsek,0.32,49,5085,30000,1.0000000000000002,1.0
vicsek,0.32,50,1536,30000,1.0,1.0
vicsek,0.32,51,520,30000,0.9999999999999999,1.0
vicsek,0.32,52,288,30000,1.0000000000000004,1.0
vicsek,0.32,53,1800,30000,1.0,1.0
vicsek,0.32,54,578,30000,1.0000000000000002,1.0
vicsek,0.32,55,1441,30000,1.0000000000000002,1.0
vicsek,0.32,56,736,30000,0.9999999999999999,1.0
vicsek,0.32,57,869,30000,0.9999999999999997,1.0
vicsek,0.32,58,1167,30000,1.0000000000000002,1.0
vicsek,0.32,59,1846,30000,0.9999999999999998,1.0
vicsek,0.32,60,1015,30000,1.0000000000000002,1.0
vicsek,0.32,61,2075,30000,1.0000000000000002,1.0
vicsek,0.32,62,1077,30000,0.9999999999999997,1.0
vicsek,0.32,63,462,30000,0.9999999999999998,1.0
vicsek,0.32,64,363,30000,1.0,1.0
vicsek,0.32,65,1008,30000,0.9999999999999998,1.0
vicsek,0.32,66,654,30000,1.0000000000000002,1.0
vicsek,0.32,67,607,30000,1.0000000000000002,1.0
vicsek,0.32,68,1471,30000,0.9999999999999999,1.0
vicsek,0.32,69,318,30000,1.0,1.0
vicsek,0.32,70,559,30000,0.9999999999999999,1.0
vicsek,0.32,71,991,30000,1.0,1.0
vicsek,0.32,72,759,30000,1.0,1.0
vicsek,0.32,73,500,30000,1.0,1.0
vicsek,0.32,74,1202,30000,1.0,1.0
vicsek,0.32,75,1219,30000,0.9999999999999999,1.0
vicsek,0.32,76,620,30000,1.0,1.0
vicsek,0.32,77,596,30000,1.0,1.0
vicsek,0.32,78,3170,30000,0.9999999999999997,1.0
vicsek,0.32,79,679,30000,1.0000000000000002,1.0
vicsek,0.32,80,649,30000,1.0,1.0
vicsek,0.32,81,710,30000,1.0000000000000002,1.0
vicsek,0.32,82,593,30000,1.0000000000000002,1.0
vicsek,0.32,83,396,30000,0.9999999999999997,1.0
vicsek,0.32,84,708,30000,0.9999999999999999,1.0
vicsek,0.32,85,770,30000,1.0000000000000002,1.0
vicsek,0.32,86,564,30000,0.9999999999999996,1.0
vicsek,0.32,87,610,30000,1.0,1.0
vicsek,0.32,88,1873,30000,1.0000000000000002,1.0
vicsek,0.32,89,516,30000,1.0000000000000002,1.0
vicsek,0.32,90,1217,30000,1.0,1.0
vicsek,0.32,91,665,30000,1.0,1.0
vicsek,0.32,92,859,30000,1.0,1.0
vicsek,0.32,93,794,30000,1.0,1.0
vicsek,0.32,94,938,30000,1.0,1.0
vicsek,0.32,95,1078,30000,1.0000000000000002,1.0
vicsek,0.32,96,906,30000,0.9999999999999998,1.0
vicsek,0.32,97,474,30000,1.0,1.0
vicsek,0.32,98,510,30000,1.0,1.0
vicsek,0.32,99,400,30000,1.0,1.0
vicsek,0.32,100,1467,30000,1.0000000000000002,1.0
voter,0.11,1,337,30000,1.0,1.0
voter,0.11,2,2331,30000,1.0,1.0
voter,0.11,3,565,30000,1.0,1.0
voter,0.11,4,636,30000,1.0000000000000002,0.6363636363636364
voter,0.11,5,817,30000,0.9999999999999997,0.6363636363636364
voter,0.11,6,1457,30000,0.9999999999999997,1.0
voter,0.11,7,1484,30000,1.0,1.0
voter,0.11,8,1606,30000,0.9999999999999999,1.0
voter,0.11,9,1097,30000,1.0000000000000002,1.0
voter,0.11,10,442,30000,1.0,1.0
voter,0.11,11,1735,30000,1.0000000000000002,1.0
voter,0.11,12,2762,30000,1.0,1.0
voter,0.11,13,2774,30000,1.0000000000000002,1.0
voter,0.11,14,918,30000,1.0,0.9090909090909091
voter,0.11,15,1466,30000,1.0,1.0
voter,0.11,16,772,30000,1.0000000000000002,0.5454545454545454
voter,0.11,17,744,30000,1.0000000000000002,0.8181818181818182
voter,0.11,18,570,30000,0.9999999999999999,0.5454545454545454
voter,0.11,19,407,30000,1.0,1.0
voter,0.11,20,882,30000,1.0,1.0
voter,0.11,21,1522,30000,1.0000000000000002,0.7272727272727273
voter,0.11,22,1091,30000,1.0000000000000002,1.0
voter,0.11,23,1323,30000,0.9999999999999997,1.0
voter,0.11,24,956,30000,0.9999999999999999,1.0
voter,0.11,25,936,30000,1.0,1.0
voter,0.11,26,1066,30000,0.9999999999999999,1.0
voter,0.11,27,1193,30000,1.0000000000000002,0.8181818181818182
voter,0.11,28,539,30000,1.0000000000000002,1.0
voter,0.11,29,10565,30000,1.0,1.0
voter,0.11,30,1388,30000,1.0000000000000002,1.0
voter,0.11,31,783,30000,1.0000000000000002,1.0
voter,0.11,32,1704,30000,1.0,1.0
voter,0.11,33,289,30000,1.0,1.0
voter,0.11,34,835,30000,1.0000000000000002,1.0
voter,0.11,35,2228,30000,1.0,0.8181818181818182
voter,0.11,36,14246,30000,1.0,1.0
voter,0.11,37,1225,30000,1.0,1.0
voter,0.11,38,492,30000,1.0000000000000002,1.0
voter,0.11,39,2738,30000,1.0000000000000002,1.0
voter,0.11,40,1048,30000,0.9999999999999999,1.0
voter,0.11,41,417,30000,1.0,1.0
voter,0.11,42,3112,30000,1.0,1.0
voter,0.11,43,1373,30000,1.0,0.5454545454545454
voter,0.11,44,477,30000,0.9999999999999999,1.0
voter,0.11,45,316,30000,1.0,1.0
voter,0.11,46,660,30000,1.0,0.7272727272727273
voter,0.11,47,328,30000,1.0000000000000002,0.6363636363636364
voter,0.11,48,807,30000,1.0,0.8181818181818182
voter,0.11,49,2449,30000,1.0000000000000002,1.0
voter,0.11,50,1691,30000,1.0,1.0
voter,0.11,51,575,30000,1.0000000000000002,1.0
voter,0.11,52,996,30000,0.9999999999999999,0.6363636363636364
voter,0.11,53,1006,30000,0.9999999999999999,1.0
voter,0.11,54,1409,30000,1.0,1.0
voter,0.11,55,1292,30000,1.0,1.0
voter,0.11,56,2172,30000,0.9999999999999999,1.0
voter,0.11,57,727,30000,1.0,1.0
voter,0.11,58,449,30000,1.0000000000000002,1.0
voter,0.11,59,304,30000,1.0,1.0
voter,0.11,60,1733,30000,0.9999999999999999,1.0
voter,0.11,61,1202,30000,0.9999999999999999,1.0
voter,0.11,62,292,30000,1.0,1.0
voter,0.11,63,2452,30000,1.0000000000000002,1.0
voter,0.11,64,2009,30000,1.0,1.0
voter,0.11,65,804,30000,1.0000000000000002,0.5454545454545454
voter,0.11,66,2558,30000,0.9999999999999997,0.9090909090909091
voter,0.11,67,1023,30000,1.0000000000000002,1.0
voter,0.11,68,530,30000,1.0,1.0
voter,0.11,69,1712,30000,1.0,1.0
voter,0.11,70,325,30000,1.0,1.0
voter,0.11,71,923,30000,1.0000000000000002,1.0
voter,0.11,72,334,30000,1.0,1.0
voter,0.11,73,712,30000,0.9999999999999999,1.0
voter,0.11,74,1096,30000,1.0,1.0
voter,0.11,75,538,30000,1.0,1.0
voter,0.11,76,686,30000,1.0000000000000002,1.0
voter,0.11,77,288,30000,1.0,1.0
voter,0.11,78,11340,30000,0.9999999999999999,0.8181818181818182
voter,0.11,79,684,30000,1.0000000000000002,0.5454545454545454
voter,0.11,80,2243,30000,1.0,1.0
voter,0.11,81,974,30000,1.0,1.0
voter,0.11,82,14592,30000,1.0,0.9090909090909091
voter,0.11,83,942,30000,1.0,1.0
voter,0.11,84,505,30000,1.0,1.0
voter,0.11,85,512,30000,0.9999999999999999,1.0
voter,0.11,86,814,30000,1.0,1.0
voter,0.11,87,373,30000,1.0,1.0
voter,0.11,88,960,30000,0.9999999999999999,1.0
voter,0.11,89,1068,30000,1.0,1.0
voter,0.11,90,1190,30000,1.0,1.0
voter,0.11,91,875,30000,1.0,1.0
voter,0.11,92,830,30000,1.0,1.0
voter,0.11,93,1729,30000,1.0,0.45454545454545453
voter,0.11,94,612,30000,0.9999999999999999,1.0
voter,0.11,95,1100,30000,1.0,1.0
voter,0.11,96,1714,30000,0.9999999999999997,1.0
voter,0.11,97,8486,30000,1.0000000000000002,1.0
voter,0.11,98,1180,30000,1.0000000000000002,1.0
voter,0.11,99,514,30000,1.0,1.0
voter,0.11,100,1843,30000,1.0,1.0
voter,0.16,1,1819,30000,1.0000000000000002,1.0
voter,0.16,2,654,30000,1.0,1.0
voter,0.16,3,1525,30000,1.0,0.8125
voter,0.16,4,574,30000,1.0,1.0
