model,density,particle_count,side,cells_per_side,cutoff,speed,time_step,eta,realizations,stationary_start,polarization_mean,polarization_std,cluster_mean,cluster_std,cim_time_ns_mean
vicsek,0.11,11,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,0.9999914647955899,2.699068623115731e-05,0.9810470982109042,0.059934337923022815,2084.8037493751044
vicsek,0.11,11,10.0,9,1.0,0.03,1.0,0.125,10,4000.0,0.8324222469805855,0.068932383779811,0.8234400327218191,0.08641785030578941,2449.991184802533
vicsek,0.11,11,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.5705909009981803,0.06301717274743729,0.5773461998757783,0.07532082685936645,2036.9035994001
vicsek,0.11,11,10.0,9,1.0,0.03,1.0,0.375,10,4000.0,0.3983420638113664,0.03826085809635357,0.38812319158928055,0.07529343786572348,1664.5350274954174
vicsek,0.11,11,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.33253361338476073,0.018373416910149615,0.3309478723243096,0.05300347751318758,1567.788485252458
vicsek,0.11,11,10.0,9,1.0,0.03,1.0,0.625,10,4000.0,0.29395535896879244,0.0070288794891180005,0.2943660905000681,0.04734449842262228,1489.8860689885018
vicsek,0.11,11,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.2757217003623828,0.0028723075631203947,0.22876490281922707,0.04410734783121461,1423.4280286618898
vicsek,0.11,11,10.0,9,1.0,0.03,1.0,0.875,10,4000.0,0.27030286417781924,0.0010935103270944275,0.20695793125388193,0.03648210579596423,1413.0171304782536
vicsek,0.11,11,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.2681686056776776,0.0015502027814801973,0.1975079910923937,0.035816048611314474,1343.071854690885
vicsek,0.16,16,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,0.9999960418598498,1.2516738172435004e-05,0.9864241376437259,0.042930646246765965,2934.9683219463423
vicsek,0.16,16,10.0,9,1.0,0.03,1.0,0.125,10,4000.0,0.8556802867774016,0.03209626430024011,0.8365564072654557,0.03257510405032238,3715.922979503416
vicsek,0.16,16,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.6378083997488525,0.08244488912542786,0.669969588401933,0.10745653483297388,3387.937710381603
vicsek,0.16,16,10.0,9,1.0,0.03,1.0,0.375,10,4000.0,0.42525219344630827,0.04574471952614373,0.4637331278120313,0.08919730845206147,2694.25989001833
vicsek,0.16,16,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.30603275241543154,0.016866947883785222,0.33867792867855356,0.05532185922513954,2255.720513247792
vicsek,0.16,16,10.0,9,1.0,0.03,1.0,0.625,10,4000.0,0.25178323205269837,0.008569835478149542,0.2705403266122313,0.047380403389854046,1978.0140309948342
vicsek,0.16,16,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.22992804471019976,0.002310595731923407,0.22218276120646557,0.03669049399948493,1806.3731211464758
vicsek,0.16,16,10.0,9,1.0,0.03,1.0,0.875,10,4000.0,0.22338756881275587,0.0020081148275937926,0.18570863189468423,0.029184526448356264,1738.015497417097
vicsek,0.16,16,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.2220792047883143,0.000938883889212585,0.17310239960006665,0.02384232643339825,1691.519480086652
vicsek,0.32,32,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,0.933755785657761,0.2094615328332364,0.9416529536743876,0.1486395973265043,5490.434660889851
vicsek,0.32,32,10.0,9,1.0,0.03,1.0,0.125,10,4000.0,0.9170704185701982,0.022093950336297973,0.909503624395934,0.04539539654889699,9469.437677053826
