model,density,particle_count,side,cells_per_side,cutoff,speed,time_step,eta,realizations,stationary_start,polarization_mean,polarization_std,cluster_mean,cluster_std,cim_time_ns_mean
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,1.000000000000001,1.1303332983761253e-15,1.0,0.0,77370.01694717546
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.8399260853420036,0.013413249807258365,0.9655957340443259,0.014159856770518682,126271.29138476921
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.4,10,4000.0,0.6275563402018736,0.02555465875936223,0.949185885685719,0.012837351451213015,125247.24492584569
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.45,10,4000.0,0.5450354929058259,0.030287787116732464,0.935263289451758,0.004254164431130109,126700.93639393435
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.4311679228450753,0.021917482956640925,0.924140976503916,0.007635985798066759,104454.61604732546
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.55,10,4000.0,0.35571258044913046,0.029979069618303985,0.9011930511581403,0.00853553950609185,102812.11019830029
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.6,10,4000.0,0.25623700774162905,0.01917339750620508,0.9024790868188635,0.014172307018714738,88731.34392601233
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.65,10,4000.0,0.18160942306304675,0.020322546623935667,0.9087279620063322,0.02086670117499442,79460.83212797868
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.7,10,4000.0,0.12402887715576202,0.01153875939380099,0.939824445925679,0.024528172370924035,68875.9397433761
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.09225110467246263,0.004286997915178434,0.9667237127145475,0.012219702949069343,62858.84930844859
vicsek,2.0,200,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.06259297724975053,0.0004363644293725439,0.993606065655724,0.001361941136795173,51150.74017663723
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,0.9999999999999968,3.3939065708105725e-15,1.0,0.0,262635.68691884686
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.8696688762316643,0.003149341873673981,0.9961885935677387,0.0012756588916881947,378096.4353607732
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.4,10,4000.0,0.6888309915136469,0.011629768333423444,0.9922474587568739,0.0024996021943167208,424908.0385269122
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.45,10,4000.0,0.6088894145361656,0.010421148529015073,0.9905025829028495,0.003587950593536565,405144.0283619397
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.5211911611364529,0.014447722767027847,0.9900060823196135,0.002353052668007774,395081.7378936844
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.55,10,4000.0,0.4351029694343678,0.01165628270826743,0.9891652224629228,0.001803796970844974,371369.8676053991
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.6,10,4000.0,0.34630726547680035,0.017309606046219526,0.9857840776537244,0.005621888045528867,380635.5385435761
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.65,10,4000.0,0.2561358321666525,0.020805033353379458,0.9911156890518248,0.0026354880261292646,336582.432227962
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.7,10,4000.0,0.16233154270692823,0.009413627009001068,0.9955811948008666,0.0014573324360882358,304385.4490584902
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.09456547308354715,0.0035698876800732966,0.998644059323446,0.0009488468161485544,251528.82561239795
vicsek,4.0,400,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.044409333630865265,0.00045572709214272667,0.9999944592567905,6.639612578442563e-06,207355.90228295285
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,0.9999999999999979,7.46894924442685e-15,1.0,0.0,1168134.0964672554
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.8863672532184704,0.0020623380853054354,0.9996599525079153,0.00028480949935770315,1232700.5449258457
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.4,10,4000.0,0.7225743999798765,0.002740271980192915,0.9992662264622563,0.0003714709418540396,1356363.2312447925
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.45,10,4000.0,0.6580440061448894,0.004244096142350684,0.9990244125979004,0.0005576446767433329,1384051.3559073487
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.5845247204681163,0.004483058971330054,0.9988384435927345,0.0006273965113940462,1326314.8394100983
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.55,10,4000.0,0.5084175679396826,0.005849779744184071,0.9987712047992001,0.0005165432465213621,1327361.2726878854
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.6,10,4000.0,0.4254305881566589,0.008589247869645492,0.9988370271621397,0.0005552427266351105,1266608.9897517082
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.65,10,4000.0,0.33868411328601333,0.01064502638271265,0.998715297450425,0.0004202023302920364,1279384.8192467922
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.7,10,4000.0,0.2407940752288705,0.012095189372252605,0.9993820821529745,0.0002438054264871055,1170257.408281953
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.152580348667243,0.014683987983431738,0.9998511914680887,0.00013601133029303837,1136027.404032661
vicsek,8.0,800,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.03135072922640725,0.00010692482746770106,1.0,0.0,853114.373954341
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,1.0000000000000004,2.4172682628091686e-15,0.9605,0.1095052002824016,88392.37055490751
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.025,10,4000.0,0.8245327458140201,0.042257813891368325,0.9678268621896351,0.011122455764311612,168035.41638060324
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.05,10,4000.0,0.5804433334845547,0.045118160193577644,0.9579993334444259,0.009182713207727275,152904.2954174304
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.075,10,4000.0,0.39913540698390904,0.021071349781781476,0.9438480253291118,0.0097838636690992,176515.0065989002
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.1,10,4000.0,0.30399380134480053,0.014885247985894174,0.9484912514580903,0.010977576454445505,124892.16090651558
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.15,10,4000.0,0.2162496360070562,0.004916511232129915,0.9415903182802866,0.011427964719522442,111091.78970171636
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.2,10,4000.0,0.16600589692818063,0.004492937445243519,0.9457717880353274,0.008137450555797888,97256.33671054823
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.13491635382833012,0.003005085716127458,0.9443258623562739,0.01824316676646267,88693.09918346941
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.07883274395938414,0.0009040651281517595,0.9814936677220463,0.003459998734612866,69041.26545575737
voter,2.0,200,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.06554729210375022,0.0005393931252716014,0.9913766872187969,0.003798904001335251,62463.20068321946
voter,2.0,200,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.06253622213093725,0.0006950345359669452,0.9930308281953006,0.0027021622930184256,60361.12509581736
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,1.0,5.189347578157344e-15,0.99825,0.004721405158071768,302857.42644559237
voter,4.0,400,10.0,9,1.0,0.03,1.0,0.025,10,4000.0,0.7442265702822815,0.05138987085633594,0.9933566905515747,0.003460088759349106,490154.14095984
