label,seed,D_m2_s,fit_error_m2_s
vacia,3000,0.023223332148205048,0.00020020066052551928
vacia,3001,0.020521865416506687,0.0002004810966791748
vacia,3002,0.022111096690278505,0.0002165506532727011
vacia,3003,0.021866528773844405,0.00022084705718949016
vacia,3004,0.02201766740139288,0.00019577416828468543
x30_r05,3000,0.019909271890821784,0.000170434288507419
x30_r05,3001,0.021804853114451753,0.00015620204303255523
x30_r05,3002,0.0216710276061515,0.00018823222023694192
x30_r05,3003,0.021961091556588493,0.0001668808464611053
x30_r05,3004,0.020996944384374563,0.0002292513723251617
x30_r10,3000,0.019901116700893787,0.0001380638559752314
x30_r10,3001,0.020908187015586503,0.00019245754917444346
x30_r10,3002,0.018713271894435855,0.00018185622662762922
x30_r10,3003,0.019379367134535756,0.00014099684071252556
x30_r10,3004,0.01888776266841335,0.00016446951312328587
x30_r15,3000,0.01822175910848956,0.00016901836325778518
x30_r15,3001,0.01766477205636968,0.00021071146647117056
x30_r15,3002,0.018764477987728234,0.00013135024876106274
x30_r15,3003,0.018108889458935813,0.00017892106103009826
x30_r15,3004,0.018051708371718524,0.00019526474417455727
x30_r20,3000,0.01792406398544707,0.00012122787476349235
x30_r20,3001,0.015228398132498,0.00017818912942332688
x30_r20,3002,0.017057982530580836,0.00011394628574775968
x30_r20,3003,0.017306980697205824,0.00015004204986887186
x30_r20,3004,0.015187013303841894,0.00017403260944696714
x30_r25,3000,0.01433960276593704,0.00014091440722165574
x30_r25,3001,0.013858397008095744,0.0001425611260123888
x30_r25,3002,0.014340313016552862,0.00015171037630354951
x30_r25,3003,0.014275408535295098,0.000145483547864803
x30_r25,3004,0.01458249350204033,0.00010135204944616785
x30_r28,3000,0.012603662639777889,0.00013723820195332307
x30_r28,3001,0.0131302597888277,0.00014220622933361753
x30_r28,3002,0.011979048311244484,0.0001293757116468325
x30_r28,3003,0.012063076651579314,0.00013714930352674268
x30_r28,3004,0.01278547191591446,0.00012678692551350686
x40_r05,3000,0.020636229100224404,0.00023561546208899456
x40_r05,3001,0.019651138324985513,0.00020775766187577707
x40_r05,3002,0.020205941229375902,0.00023412035628049948
x40_r05,3003,0.019807917341424217,0.00021537695889042917
x40_r05,3004,0.02054314207813258,0.00024667756866284104
x40_r10,3000,0.020087423383472365,0.0001954978054176895
x40_r10,3001,0.019494805604484546,0.00018335319850111147
x40_r10,3002,0.01992846794795381,0.00018953446659112134
x40_r10,3003,0.018849610407504522,0.00019279863594158896
x40_r10,3004,0.019880205031139617,0.00017210809419120957
x40_r15,3000,0.017143884478682158,0.00015966775319495874
x40_r15,3001,0.01887917353890614,0.00013090161669394325
x40_r15,3002,0.017596737106823402,0.00016874051085644058
x40_r15,3003,0.017142785047863523,0.00018058522985473107
x40_r15,3004,0.018588900774465494,0.00011559442008379345
x40_r20,3000,0.01459237477063483,0.00016863432559613656
x40_r20,3001,0.015879933977329296,0.00014119776319423757
x40_r20,3002,0.01642334293834823,0.00014148703580089774
x40_r20,3003,0.014445078975745505,0.00022807633060085796
x40_r20,3004,0.016136043268624115,0.00011191846043763489
x40_r25,3000,0.0145459280845714,8.691725912917555e-05
x40_r25,3001,0.013249851295456902,0.00011577661322698186
x40_r25,3002,0.013726748952714262,0.00012158962848736846
x40_r25,3003,0.013199178995615433,0.00013186035301205367
x40_r25,3004,0.013743108817338767,0.00011532547691010533
x40_r28,3000,0.01246633386075334,9.154973596581101e-05
x40_r28,3001,0.011465950546597485,0.00013942797918820328
x40_r28,3002,0.012138607023374362,0.00012168693616513515
x40_r28,3003,0.011670060853772892,0.00010761415241204154
x40_r28,3004,0.01210720943408794,0.00015217287587128265
x40_r30,3000,0.011717462672961504,0.00010089352044394074
x40_r30,3001,0.01021203677822761,0.000145733793261007
x40_r30,3002,0.010946731618846484,0.00017190829890405707
x40_r30,3003,0.010778901070995306,0.00010214829034365476
x40_r30,3004,0.011022740072753319,0.00010951812386383846
x40_r32,3000,0.010151380150508232,0.00014866302654261928
x40_r32,3001,0.009939800379181827,0.00011900711037226805
x40_r32,3002,0.009634509585712454,0.00014352149930571708
x40_r32,3003,0.009940280874891523,0.00010615390579732544
x40_r32,3004,0.009492338299949866,0.00012497016665684392
x40_r33,3000,0.00940060589548484,0.00011909248639180311
x40_r33,3001,0.008870765821481278,0.0001246291951949489
x40_r33,3002,0.00888479941211266,0.00011796560168039852
x40_r33,3003,0.00879807737492125,0.00012557107396729154
x40_r33,3004,0.008266039671710947,0.00012750334601697023
x40_r34,3000,0.008414215779961494,9.704914814082492e-05
x40_r34,3001,0.008708329792789148,0.00011794206766257483
