label,mean_D_m2_s,std_D_m2_s,sem_D_m2_s,pooled_D_m2_s,pooled_fit_error_m2_s,realizations
vacia,0.021948098086045503,0.0009615642890967459,0.00043002462303131674,0.02194809438766955,0.0002058117159192714,5
x30_r05,0.02126863771047762,0.0008441903831024794,0.0003775334165137467,0.021268633096420835,0.00018120765351320006,5
x30_r10,0.01955794108277305,0.0008853569031386117,0.0003959436439533265,0.019557987945221886,0.00016263283446057254,5
x30_r15,0.018162321396648362,0.0003964753967882023,0.00017730918772492442,0.01816233320594449,0.00017658141199813232,5
x30_r20,0.016540887729914723,0.0012572854614384958,0.0005622751517797334,0.01654086190653244,0.00014656536088557105,5
x30_r25,0.014279242965584216,0.0002628972077043122,0.00011757120550434469,0.01427924118828456,0.00013611469274232328,5
x30_r28,0.012512303861468769,0.00048759699251838196,0.00021806000417911168,0.012512311909308595,0.00013405379148521905,5
x40_r05,0.020168873614828522,0.0004353766478753149,0.00019470635609303868,0.02016885834697378,0.00022678122204040877,5
x40_r10,0.019648102474910972,0.0004966308407598083,0.00022210006393236093,0.019648101494482515,0.00018622756219793205,5
x40_r15,0.017870296189348146,0.0008163955937858138,0.0003651032088472769,0.017870284219966177,0.00015030348111118674,5
x40_r20,0.015495354786136395,0.0009135093161572005,0.00040853378580136944,0.015495327319113437,0.00015778516563798504,5
x40_r25,0.013692963229139352,0.0005411506617348269,0.0002420099331416134,0.013692959750592003,0.00011410405091912206,5
x40_r28,0.011969632343717205,0.0003992589152177194,0.00017855401500992916,0.01196962878332522,0.00012209786932715054,5
x40_r30,0.010935574442756845,0.0005401677590284107,0.0002415703656882504,0.010935565132643132,0.00012557254329186238,5
x40_r32,0.00983166185804878,0.0002644434309423275,0.00011826269755806311,0.009831656664626803,0.00012793143082326532,5
x40_r33,0.008844057635142195,0.00040259723548412903,0.00018004695721920058,0.008844058076827706,0.00012278499374002408,5
x40_r34,0.00842618722088827,0.0002654421328402802,0.00011870933062467916,0.008426187096525825,0.00010393726554022038,5
x50_r05,0.021354292376017422,0.0006365953936830584,0.00028469411488771175,0.021354300483558426,0.0002071563812879275,5
x50_r10,0.01911730035348394,0.0005098707381419005,0.00022802112604465685,0.019117301597578917,0.00020187543689204572,5
x50_r15,0.01798288903128773,0.0009503878496950434,0.00042502636738159396,0.017982926018655754,0.00015084982108924967,5
x50_r20,0.015242234431661788,0.0005690023391652873,0.00025446558194599465,0.0152422500340995,0.00015219387934689875,5
x50_r25,0.0137137111157011,0.0006456090587047338,0.0002887251484306874,0.013713708791435325,0.00014745787155098306,5
x50_r28,0.011732583745066834,0.0008208627852492991,0.0003671009976034489,0.011732579892053462,0.00012746913255156378,5
x50_r30,0.009877730072518773,0.0001608580265945742,7.193789643838737e-05,0.009877729817811117,0.00015469185376361518,5
x50_r32,0.00900039475896334,0.0003716810713101099,0.0001662208282798705,0.00900039066673824,0.00013703983590967602,5
x50_r33,0.008034053588199922,0.00026133703643084965,0.00011687347569954377,0.00803405356380967,0.00013269431185065954,5
x50_r34,0.007829247013758419,0.0004206111576924979,0.00018810302813906176,0.007829255779199849,0.00013145251759116099,5
x60_r05,0.02073945116308452,0.0005353548545600964,0.00023941796937617776,0.020739460578351358,0.0001899207173834632,5
x60_r10,0.01944941632966597,0.0009816470612810109,0.0004390059117874484,0.019449381272442546,0.0001838065321119714,5
x60_r15,0.017613392105116532,0.0007412535041435716,0.0003314986447649896,0.017613394716717818,0.00017415749023938582,5
x60_r20,0.015294640240235812,0.0008983135483839802,0.0004017380318591252,0.015294599597606932,0.0001784586630223906,5
x60_r25,0.012525884951887122,0.00035293022801332133,0.0001578351962304574,0.012525880016280886,0.00017482334354611525,5
x60_r28,0.010654000222452688,0.0005809701640796015,0.0002598177559562391,0.0106540097564901,0.00014371809017503327,5
x60_r30,0.009485534028351532,0.0002633893617329111,0.0001177913034770142,0.009485531039869804,0.00014588576718689924,5
x60_r32,0.008325637825568588,0.00022713811695653332,0.00010157925395922122,0.00832564041697054,0.00014721986510974982,5
x60_r33,0.007513440145346393,0.0002910583679306366,0.00013016525922260964,0.007513440115766306,0.00013704922199700453,5
x60_r34,0.00752252387851475,0.0003643931366961141,0.00016296156483737684,0.0075225252496360605,0.00012493293853884738,5
