particle_count,seed,engine,events,runtime_seconds
10,1000,queue,589,0.000266
10,1001,queue,569,0.00027125
10,1002,queue,610,0.000305166
10,1003,queue,553,0.000265458
10,1004,queue,580,0.000269375
10,1005,queue,592,0.000272667
10,1006,queue,589,0.000266458
10,1007,queue,567,0.000255416
10,1008,queue,592,0.000266958
10,1009,queue,591,0.000269958
25,1000,queue,2153,0.0019965
25,1001,queue,2147,0.00199587
25,1002,queue,2148,0.0019705
25,1003,queue,2139,0.00199987
25,1004,queue,2148,0.00202725
25,1005,queue,2141,0.00202892
25,1006,queue,2104,0.00194604
25,1007,queue,2103,0.00189
25,1008,queue,2081,0.00191325
25,1009,queue,2176,0.00199992
50,1000,queue,6818,0.011288
50,1001,queue,6741,0.0110196
50,1002,queue,6855,0.0115859
50,1003,queue,6866,0.0116195
50,1004,queue,6822,0.0112929
50,1005,queue,6722,0.0113188
50,1006,queue,6820,0.0114159
50,1007,queue,6842,0.0114507
50,1008,queue,6726,0.0112342
50,1009,queue,6767,0.0112181
75,1000,queue,14354,0.0341745
75,1001,queue,14287,0.034392
75,1002,queue,14314,0.0344175
75,1003,queue,14433,0.0346242
75,1004,queue,14553,0.0352912
75,1005,queue,14446,0.0349359
75,1006,queue,14301,0.0345642
75,1007,queue,14247,0.0342778
75,1008,queue,14423,0.0348203
75,1009,queue,14597,0.0351619
100,1000,queue,25589,0.0797825
100,1001,queue,25402,0.0802457
100,1002,queue,25488,0.0807636
100,1003,queue,25187,0.0790236
100,1004,queue,25244,0.0803557
100,1005,queue,25182,0.0797443
100,1006,queue,25189,0.0791504
100,1007,queue,25567,0.0809946
100,1008,queue,25264,0.0797415
100,1009,queue,25419,0.0805948
150,1000,queue,59875,0.291002
150,1001,queue,59406,0.28215
150,1002,queue,59492,0.28317
150,1003,queue,59550,0.282027
150,1004,queue,59445,0.28174
150,1005,queue,59754,0.284113
150,1006,queue,60051,0.286259
150,1007,queue,59916,0.285389
150,1008,queue,59654,0.28482
150,1009,queue,59581,0.284544
200,1000,queue,115290,0.736411
200,1001,queue,116127,0.742862
200,1002,queue,115489,0.73926
200,1003,queue,115747,0.74015
200,1004,queue,115282,0.737941
200,1005,queue,115976,0.745417
200,1006,queue,115737,0.742516
200,1007,queue,116218,0.743556
200,1008,queue,115670,0.74356
200,1009,queue,115751,0.744355
300,1000,queue,330657,3.25664
300,1001,queue,331696,3.27377
300,1002,queue,331734,3.27722
300,1003,queue,331093,3.29021
300,1004,queue,330890,3.28255
300,1005,queue,331196,3.26926
300,1006,queue,331025,3.26638
300,1007,queue,331474,3.26874
300,1008,queue,332215,3.28936
300,1009,queue,330646,3.3132
400,1000,queue,810096,11.2351
400,1001,queue,809560,11.2171
400,1002,queue,809940,11.2188
400,1003,queue,811140,11.2535
400,1004,queue,810306,11.2792
400,1005,queue,810733,11.2835
400,1006,queue,810975,11.3474
400,1007,queue,809479,11.2761
400,1008,queue,811491,11.3302
400,1009,queue,809884,11.3078
