label,x_m,y_m,radius_m
vacia,,,
x30_r05,0.3,0.34,0.05
x30_r10,0.3,0.34,0.1
x30_r15,0.3,0.34,0.15
x30_r20,0.3,0.34,0.2
x30_r25,0.3,0.34,0.25
x30_r28,0.3,0.34,0.28
x40_r05,0.4,0.34,0.05
x40_r10,0.4,0.34,0.1
x40_r15,0.4,0.34,0.15
x40_r20,0.4,0.34,0.2
x40_r25,0.4,0.34,0.25
x40_r28,0.4,0.34,0.28
x40_r30,0.4,0.34,0.3
x40_r32,0.4,0.34,0.32
x40_r33,0.4,0.34,0.33
x40_r34,0.4,0.34,0.34
x50_r05,0.5,0.34,0.05
x50_r10,0.5,0.34,0.1
x50_r15,0.5,0.34,0.15
x50_r20,0.5,0.34,0.2
x50_r25,0.5,0.34,0.25
x50_r28,0.5,0.34,0.28
x50_r30,0.5,0.34,0.3
x50_r32,0.5,0.34,0.32
x50_r33,0.5,0.34,0.33
x50_r34,0.5,0.34,0.34
x60_r05,0.6,0.34,0.05
x60_r10,0.6,0.34,0.1
x60_r15,0.6,0.34,0.15
x60_r20,0.6,0.34,0.2
x60_r25,0.6,0.34,0.25
x60_r28,0.6,0.34,0.28
x60_r30,0.6,0.34,0.3
x60_r32,0.6,0.34,0.32
x60_r33,0.6,0.34,0.33
x60_r34,0.6,0.34,0.34
