label,x_m,radius_m,seed,reached,t90_seconds,goals_at_end
vacia,,,2000,1,19.4615326,100
vacia,,,2001,1,23.9885206,100
vacia,,,2002,1,23.9022597,100
vacia,,,2003,1,21.2693697,100
vacia,,,2004,1,20.0585289,100
vacia,,,2005,1,20.9353372,100
vacia,,,2006,1,22.4888409,100
vacia,,,2007,1,25.7288771,100
vacia,,,2008,1,24.4899977,100
vacia,,,2009,1,24.8388096,100
vacia,,,2010,1,19.2410605,100
vacia,,,2011,1,28.7000159,100
vacia,,,2012,1,17.9124058,100
vacia,,,2013,1,21.517831,100
vacia,,,2014,1,25.719525,100
x30_r05,0.3,0.05,2000,1,20.7967833,100
x30_r05,0.3,0.05,2001,1,24.1296456,100
x30_r05,0.3,0.05,2002,1,23.3507644,100
x30_r05,0.3,0.05,2003,1,26.7069203,100
x30_r05,0.3,0.05,2004,1,21.3797929,100
x30_r05,0.3,0.05,2005,1,18.3338321,100
x30_r05,0.3,0.05,2006,1,22.3783674,100
x30_r05,0.3,0.05,2007,1,22.4164347,100
x30_r05,0.3,0.05,2008,1,24.5964612,100
x30_r05,0.3,0.05,2009,1,20.0754846,100
x30_r05,0.3,0.05,2010,1,18.1350159,100
x30_r05,0.3,0.05,2011,1,19.1687963,100
x30_r05,0.3,0.05,2012,1,22.040127,100
x30_r05,0.3,0.05,2013,1,23.7706459,100
x30_r05,0.3,0.05,2014,1,20.7524336,100
x30_r10,0.3,0.1,2000,1,22.0131529,100
x30_r10,0.3,0.1,2001,1,24.048757,100
x30_r10,0.3,0.1,2002,1,22.1165896,100
x30_r10,0.3,0.1,2003,1,17.7668579,100
x30_r10,0.3,0.1,2004,1,22.648506,100
x30_r10,0.3,0.1,2005,1,22.6749116,100
x30_r10,0.3,0.1,2006,1,24.107297,100
x30_r10,0.3,0.1,2007,1,25.399635,100
x30_r10,0.3,0.1,2008,1,21.5556521,100
x30_r10,0.3,0.1,2009,1,26.6321748,100
x30_r10,0.3,0.1,2010,1,26.5455273,100
x30_r10,0.3,0.1,2011,1,19.5129929,100
x30_r10,0.3,0.1,2012,1,21.821195,100
x30_r10,0.3,0.1,2013,1,22.4664266,100
x30_r10,0.3,0.1,2014,1,27.5018214,100
x30_r15,0.3,0.15,2000,1,23.225668,100
x30_r15,0.3,0.15,2001,1,24.601892,100
x30_r15,0.3,0.15,2002,1,23.2946857,100
x30_r15,0.3,0.15,2003,1,20.7673954,100
x30_r15,0.3,0.15,2004,1,20.9108056,100
x30_r15,0.3,0.15,2005,1,22.1688912,100
x30_r15,0.3,0.15,2006,1,22.1931982,100
x30_r15,0.3,0.15,2007,1,30.0816548,100
x30_r15,0.3,0.15,2008,1,28.4539147,100
x30_r15,0.3,0.15,2009,1,24.2133789,100
x30_r15,0.3,0.15,2010,1,25.6593359,100
x30_r15,0.3,0.15,2011,1,19.5776794,100
x30_r15,0.3,0.15,2012,1,22.8731006,100
x30_r15,0.3,0.15,2013,1,23.6967964,100
x30_r15,0.3,0.15,2014,1,23.3703931,100
x30_r20,0.3,0.2,2000,1,23.7188101,100
x30_r20,0.3,0.2,2001,1,29.0321924,100
x30_r20,0.3,0.2,2002,1,22.7644211,100
x30_r20,0.3,0.2,2003,1,20.5727951,100
x30_r20,0.3,0.2,2004,1,36.7627463,100
x30_r20,0.3,0.2,2005,1,27.9557264,100
x30_r20,0.3,0.2,2006,1,25.725726,100
x30_r20,0.3,0.2,2007,1,20.71361,100
x30_r20,0.3,0.2,2008,1,27.3124441,99
x30_r20,0.3,0.2,2009,1,26.0171601,100
x30_r20,0.3,0.2,2010,1,25.3498807,100
x30_r20,0.3,0.2,2011,1,29.8863498,100
x30_r20,0.3,0.2,2012,1,22.9316797,100
x30_r20,0.3,0.2,2013,1,27.9076927,100
x30_r20,0.3,0.2,2014,1,24.5591296,100
x30_r25,0.3,0.25,2000,1,29.3095168,100
x30_r25,0.3,0.25,2001,1,27.201775,100
x30_r25,0.3,0.25,2002,1,35.1917296,99
x30_r25,0.3,0.25,2003,1,32.2548235,100
x30_r25,0.3,0.25,2004,1,31.3972108,100
x30_r25,0.3,0.25,2005,1,31.8693255,100
x30_r25,0.3,0.25,2006,1,30.7141782,100
x30_r25,0.3,0.25,2007,1,33.2974448,100
x30_r25,0.3,0.25,2008,1,30.4117306,100
x30_r25,0.3,0.25,2009,1,32.2165061,100
x30_r25,0.3,0.25,2010,1,28.605203,100
x30_r25,0.3,0.25,2011,1,29.1497246,100
x30_r25,0.3,0.25,2012,1,24.416525,100
x30_r25,0.3,0.25,2013,1,32.3346803,100
x30_r25,0.3,0.25,2014,1,31.1799048,100
x30_r28,0.3,0.28,2000,1,45.5770667,99
x30_r28,0.3,0.28,2001,1,33.0452507,99
x30_r28,0.3,0.28,2002,1,47.5520952,100
x30_r28,0.3,0.28,2003,1,46.9036416,100
x30_r28,0.3,0.28,2004,1,34.6575129,99
x30_r28,0.3,0.28,2005,1,46.1900993,98
x30_r28,0.3,0.28,2006,1,42.9870063,100
x30_r28,0.3,0.28,2007,1,39.1662784,99
