label,x_m,radius_m,realizations,reached,mean_t90_seconds,std_t90_seconds,sem_t90_seconds,mean_goals_at_end
vacia,,,15,15,22.68352748,2.9775981604614588,0.7688125391443379,100.0
x30_r05,0.3,0.05,15,15,21.868767013333333,2.4192513891139584,0.6246480226885013,100.0
x30_r10,0.3,0.1,15,15,23.120766473333333,2.6616893196897613,0.687245227195773,100.0
x30_r15,0.3,0.15,15,15,23.672585993333332,2.769729828209414,0.715141166543266,100.0
x30_r20,0.3,0.2,15,15,26.08069094,4.0908063991509875,1.056241670431367,99.93333333333334
x30_r25,0.3,0.25,15,15,30.636685240000002,2.6303627046137414,0.679156729963608,99.93333333333334
x30_r28,0.3,0.28,15,15,41.815221453333336,4.171272372241978,1.0770178953458855,99.4
x40_r05,0.4,0.05,15,15,21.018930346666664,2.2689916160864647,0.585851116119142,100.0
x40_r10,0.4,0.1,15,15,23.081099213333335,2.8467885098710957,0.7350376325936921,100.0
x40_r15,0.4,0.15,15,15,23.450908966666667,3.2576881008658085,0.8411314507860895,100.0
x40_r20,0.4,0.2,15,15,21.935769526666668,2.706400938309561,0.6987897174822038,100.0
x40_r25,0.4,0.25,15,15,21.75456852,2.0618490865642425,0.5323671449770857,100.0
x40_r28,0.4,0.28,15,15,24.9364835,3.589851681754393,0.9268957185859634,100.0
x40_r30,0.4,0.3,15,15,25.142953913333333,3.972384605581799,1.025665294809935,100.0
x40_r32,0.4,0.32,15,15,27.094853399999998,3.985038993763843,1.0289326437889683,99.93333333333334
x40_r33,0.4,0.33,15,15,26.034136606666667,2.749298435159932,0.7098658035419019,100.0
x40_r34,0.4,0.34,15,15,26.277668679999998,2.873364233347752,0.7418994548895923,99.86666666666666
x50_r05,0.5,0.05,15,15,20.524347706666667,1.943068729191583,0.501698188579694,100.0
x50_r10,0.5,0.1,15,15,20.42972948,2.1592273289055703,0.5575100990351466,100.0
x50_r15,0.5,0.15,15,15,20.217582673333332,2.8604402205587083,0.7385624891363831,100.0
x50_r20,0.5,0.2,15,15,19.896319613333333,2.1140805427262985,0.5458532489680061,100.0
x50_r25,0.5,0.25,15,15,19.65958582,2.545568931426968,0.6572630718693104,100.0
x50_r28,0.5,0.28,15,15,18.845833340000002,2.5440324589136964,0.6568663563722567,100.0
x50_r30,0.5,0.3,15,15,19.157861060000002,2.908501481937849,0.7509718534643254,100.0
x50_r32,0.5,0.32,15,15,19.084390406666667,2.168758613059084,0.5599710660214484,100.0
x50_r33,0.5,0.33,15,15,18.711899113333335,2.4283236810462854,0.6269904783928902,100.0
x50_r34,0.5,0.34,15,15,19.209795133333333,3.2985100910016243,0.8516716433164268,100.0
x60_r05,0.6,0.05,15,15,21.9549331,2.9561928908312107,0.7632857222910693,100.0
x60_r10,0.6,0.1,15,15,21.22767214666667,2.3109366397451976,0.5966812746582453,100.0
x60_r15,0.6,0.15,15,15,20.072563613333333,2.0309960604522264,0.524400927889623,100.0
x60_r20,0.6,0.2,15,15,19.026748766666667,1.8602628096569447,0.4803177920913576,100.0
x60_r25,0.6,0.25,15,15,17.55983866,1.7551756150210958,0.4531843951097376,100.0
x60_r28,0.6,0.28,15,15,17.095960546666667,2.879506767271036,0.7434854503288186,100.0
x60_r30,0.6,0.3,15,15,16.80895212,2.535504895448632,0.6546645489533286,100.0
x60_r32,0.6,0.32,15,15,16.7238474,2.338357049521261,0.6037611940188371,100.0
x60_r33,0.6,0.33,15,15,16.060727353333334,1.8973179260649846,0.48988538200736537,100.0
x60_r34,0.6,0.34,15,15,15.541025653333332,1.550187367777102,0.4002566572601219,100.0
